SYMBOL,FS1.A.A431,FS1.B.A431,FS2.A.A431,FS2.B.A431,FP1.A.A431,FP1.B.A431,FP2.A.A431,FP2.B.A431,FP3.A.A431,FP3.B.A431,markers
ASNSD1,0.157509287,0.18506103,0.153679462,0.1464709,0.050053069,0.051857421,0.055200778,0.053617548,0.073721918,0.072828587,unknown
ASPH,0.040041238,0.038135827,0.031913327,0.033699074,0.101106427,0.102174193,0.191323478,0.19310002,0.13759458,0.130911836,"ER, peroxisome"
ASPHD2,0.014977892,0.018876363,0.01445472,0.014353461,0.287246431,0.242203058,0.055861208,0.056688156,0.114161069,0.181177642,unknown
ASPM,0.127401379,0.12641112,0.053275958,0.051034371,0.077087197,0.077528312,0.086539673,0.093048379,0.159107686,0.148565924,unknown
ASPSCR1,0.188230345,0.212159459,0.127750732,0.128506298,0.059114442,0.054280538,0.057319974,0.052992642,0.056925019,0.062720552,Cytosol_5
ASS1,0.237834241,0.246317628,0.105676384,0.098540358,0.065846051,0.06472325,0.043273589,0.043889051,0.045178193,0.048721254,Cytosol_5
ASTE1,0.066651138,0.064280248,0.063481632,0.066592906,0.091483096,0.099519167,0.068281645,0.079928125,0.197025156,0.202756888,unknown
ASUN,0.050746912,0.056763443,0.136580886,0.152999831,0.103780481,0.096536277,0.077568272,0.082816336,0.119159185,0.123048376,unknown
ASXL1,0.058024736,0.057626935,0.099061551,0.105480616,0.073701721,0.079442717,0.079072038,0.080545711,0.189787357,0.177256618,unknown
ASXL2,0.054336535,0.053516429,0.113010516,0.103907346,0.096180132,0.103178364,0.077117239,0.079049042,0.157296204,0.162408194,unknown
ATAD1,0.048626041,0.053609819,0.051147246,0.053951843,0.12109604,0.12123285,0.169839346,0.184800453,0.099783059,0.095913302,Mitochondria membrane
ATAD2,0.041328178,0.039155344,0.033905069,0.036769662,0.280357586,0.286006953,0.093644684,0.100917024,0.04131044,0.046605059,Nucleus (Nucleolus)
ATAD2B,0.040443971,0.041454624,0.029112147,0.031124507,0.28322407,0.27995063,0.101208311,0.099204894,0.0461233,0.048153548,Nucleus (Nucleolus)
ATAD3A,0.068946904,0.064324271,0.0496614,0.051261164,0.132525272,0.134527432,0.165060359,0.161301403,0.084679556,0.087712239,Mitochondria membrane
ATAD3B,0.055509613,0.04181885,0.035421404,0.03702938,0.142351779,0.140146555,0.190005283,0.172639147,0.090885076,0.094192911,Mitochondria membrane
ATAD5,0.051182077,0.052278394,0.03910491,0.040316164,0.171980266,0.180759641,0.091118066,0.099252029,0.130196453,0.143811999,Nucleus (Nucleolus)
ATAT1,0.175822353,0.188303789,0.092662812,0.105041552,0.102324075,0.085134452,0.070528012,0.076223655,0.052761715,0.051197586,unknown
ATE1,0.277369351,0.267738075,0.104446018,0.10736064,0.040804696,0.043589055,0.040910534,0.042375986,0.03768654,0.037719105,Cytosol_5
ATF1,0.016007163,0.039761351,0.206694636,0.256859135,0.101355226,0.095509744,0.095207912,0.10947451,0.040998863,0.038131458,Nucleosol
ATF2,0.06617045,0.063640295,0.070209497,0.078701617,0.159620569,0.150254396,0.124382412,0.136306342,0.070218697,0.080495726,unknown
ATF3,0.06202231,0.047836012,0.042133767,0.03608033,0.200086874,0.222516936,0.107085755,0.133767086,0.077095829,0.071375101,unknown
ATF4,0.046880284,0.064163379,0.067345965,0.0674587,0.154880111,0.157689806,0.144447817,0.127268786,0.080032953,0.089832199,Nucleus (Nucleolus)
ATF6,0.048885471,0.053393081,0.03200403,0.040188436,0.089126938,0.085618073,0.203381591,0.197530537,0.124524933,0.125346909,"ER, Mitochondrion"
ATF6B,0.064094017,0.057132245,0.051303785,0.054522771,0.122207196,0.12977848,0.10888364,0.105559894,0.1487305,0.157787471,unknown
ATF7,0.050975102,0.06006057,0.070164468,0.069137104,0.16073327,0.169693667,0.123658844,0.138265274,0.068752959,0.088558743,unknown
ATF7IP,0.076302413,0.062621644,0.228302564,0.260350334,0.066448102,0.069093555,0.072079137,0.068384951,0.047731524,0.048685777,unknown
ATG12,0.246579426,0.251019896,0.091406201,0.092261344,0.046938743,0.055262662,0.055866755,0.05610996,0.057451516,0.047103496,Cytosol_3
ATG13,0.245812924,0.22551121,0.108876193,0.108876193,0.048834954,0.049226155,0.06024499,0.056161827,0.046699647,0.049755907,Cytosol_5
ATG14,0.177463131,0.171384905,0.098226598,0.098727262,0.064093668,0.061888993,0.082521586,0.084945849,0.080518933,0.080229075,unknown
ATG16L1,0.196773062,0.198834812,0.110881077,0.107818395,0.070578573,0.067242132,0.068961682,0.064145229,0.058344954,0.056420084,Cytosol_3
ATG2A,0.190078941,0.168344307,0.077708642,0.073727119,0.077329449,0.072279293,0.094039781,0.087636596,0.076519356,0.082336516,unknown
ATG2B,0.21531186,0.236795918,0.086496896,0.081849059,0.066475444,0.066987357,0.061437579,0.062315143,0.062071375,0.060259369,Cytosol_3
ATG3,0.271722674,0.281056361,0.080311851,0.078251573,0.054948571,0.053481403,0.049228176,0.047682967,0.042758588,0.040557836,Cytosol_4
ATG4A,0.357893629,0.369923161,0.057102687,0.057238019,0.022111784,0.021593011,0.042043216,0.041644738,0.016518052,0.013931702,unknown
ATG4B,0.299043843,0.296257374,0.101976801,0.057074845,0.067074287,0.062289522,0.032577802,0.028302563,0.026200769,0.029202194,Cytosol_4
ATG4C,0.241328718,0.257532403,0.089100002,0.085395608,0.055103877,0.04942975,0.056846645,0.047419488,0.056789903,0.061053604,Cytosol_2
ATG4D,0.129100411,0.112677382,0.099692924,0.101266797,0.08933444,0.093029621,0.087418419,0.088787005,0.105757469,0.092935531,unknown
ATG5,0.19543277,0.202857289,0.10593791,0.100695569,0.069002847,0.065763677,0.073955368,0.064595871,0.06347921,0.058279489,Cytosol_3
ATG7,0.257170368,0.27492068,0.106691291,0.097204464,0.050030781,0.04875219,0.044324478,0.043953529,0.039841518,0.037110701,Cytosol_4
ATG9A,0.053088922,0.056517141,0.035295673,0.040838988,0.081219706,0.076152287,0.086198995,0.084163215,0.220807262,0.265717811,"Golgi, Endo/Lyosome"
ATHL1,0.163216656,0.16906481,0.1542815,0.163782606,0.05451131,0.049675007,0.079584627,0.067150869,0.053628085,0.045104529,unknown
ATIC,0.261946112,0.275757125,0.114391571,0.112811988,0.048222763,0.047743099,0.03690104,0.037025091,0.031715708,0.033485503,Cytosol_4
ATL1,0.041199511,0.040974917,0.042547075,0.039995688,0.096575392,0.108874156,0.146381343,0.137667098,0.171203464,0.174581357,unknown
ATL2,0.040997793,0.041373247,0.037307351,0.038635177,0.087810551,0.089962546,0.111445866,0.10936713,0.220986987,0.222113351,"Golgi, Endo/Lyosome"
ATL3,0.039192246,0.040369301,0.037086422,0.040332518,0.097300131,0.095801225,0.140464937,0.141908668,0.179877881,0.187666673,"Golgi, Endo/Lyosome"
ATM,0.056649412,0.055228235,0.156432941,0.152828235,0.074767059,0.077816471,0.063896471,0.068564706,0.144687059,0.149129412,unknown
ATMIN,0.101095571,0.12422429,0.101138134,0.100252824,0.113864462,0.101529713,0.07963532,0.076179207,0.104032416,0.098048062,unknown
ATN1,0.052748718,0.064707692,0.182071795,0.198348718,0.085938462,0.102030769,0.084789744,0.077887179,0.071958974,0.079517949,unknown
ATOX1,0.260908531,0.329021096,0.082452052,0.089910144,0.033518552,0.037430738,0.048107421,0.046673473,0.039667386,0.032310606,unknown
ATP10D,0.070954345,0.041464527,0.047759165,0.046837317,0.123062025,0.11280996,0.156853799,0.147616698,0.132578473,0.120063691,unknown
ATP11A,0.042424298,0.041891122,0.03145741,0.030657646,0.1105238,0.101965399,0.155089997,0.152837786,0.160522881,0.172629663,"ER, peroxisome"
ATP11B,0.038742159,0.041431682,0.037774303,0.038751466,0.099186629,0.097371899,0.139799356,0.136570067,0.17971411,0.190658328,"Golgi, Endo/Lyosome"
ATP11C,0.040386042,0.038522766,0.030454603,0.034823351,0.083946888,0.084462454,0.177608133,0.162231589,0.17304944,0.174514734,"ER, peroxisome"
ATP13A1,0.044461013,0.044742872,0.039142057,0.038878382,0.103624164,0.103442319,0.178298662,0.172388711,0.138165551,0.13685627,"ER, peroxisome"
ATP13A2,0.039158348,0.044568696,0.038424903,0.036291244,0.064085956,0.062628591,0.194039092,0.174979044,0.166739694,0.179084432,"Golgi, Endo/Lyosome"
ATP13A3,0.054916822,0.052466899,0.039363937,0.039538277,0.109072057,0.11441234,0.164346733,0.157997119,0.133672224,0.134213593,"ER, peroxisome"
ATP1A1,0.039624254,0.039201449,0.034155354,0.035901725,0.136906349,0.137512983,0.201650781,0.190189068,0.092548508,0.092309531,Plasma Membrane
ATP1A2,0.038934005,0.038674922,0.035128157,0.031268705,0.112058106,0.127772864,0.223446169,0.207168574,0.1037853,0.081763198,Plasma Membrane
ATP1A3,0.028365661,0.024592409,0.023487828,0.023965007,0.258021473,0.253178986,0.090195732,0.106384483,0.081120488,0.110687934,unknown
ATP1B1,0.035939321,0.03503918,0.028434986,0.027885426,0.150560456,0.15131847,0.178777514,0.178417457,0.106387212,0.107239978,Plasma Membrane
ATP1B3,0.054234339,0.052430757,0.045669591,0.045878045,0.137389429,0.136256526,0.166953669,0.16403531,0.099477958,0.097674376,Plasma Membrane
ATP2A1,0.078782536,0.08193115,0.050453401,0.065952981,0.116884971,0.127489505,0.141074727,0.144424853,0.096414777,0.0965911,unknown
ATP2A2,0.045809431,0.044068325,0.042913696,0.043060316,0.101194949,0.100168612,0.178280153,0.168172571,0.137877316,0.13845463,"ER, peroxisome"
ATP2A3,0.108643762,0.100726066,0.07551752,0.083144124,0.088283972,0.088758036,0.092791736,0.09509552,0.118698903,0.148340361,unknown
ATP2B1,0.040153849,0.040333403,0.034587688,0.03619422,0.136129959,0.135288892,0.205191933,0.190544142,0.092725245,0.088850668,Plasma Membrane
ATP2B2,0.03225083,0.035354804,0.05942406,0.074387728,0.129039203,0.127200144,0.195980981,0.208522472,0.064088993,0.073750785,unknown
ATP2B3,0.010891626,0.024005657,0.018816982,0.01678743,0.034906466,0.038221708,0.37885592,0.348192229,0.076627086,0.052694897,unknown
ATP2B4,0.039928843,0.038610786,0.031080346,0.033034389,0.134137686,0.134948799,0.20628059,0.191081452,0.097020084,0.093877024,Plasma Membrane
ATP2C1,0.041512882,0.039165801,0.034274555,0.034883721,0.065377862,0.065754112,0.184210055,0.166212778,0.183869638,0.184738596,"Golgi, Endo/Lyosome"
ATP2C2,0.062730868,0.072152159,0.047992612,0.056499757,0.111003321,0.115574046,0.151860005,0.146337823,0.109072423,0.126776986,unknown
ATP5A1,0.041132509,0.041330171,0.040059487,0.041207809,0.119350163,0.119020726,0.222030835,0.208608648,0.082820354,0.084439299,Mitochondria membrane
ATP5B,0.051943633,0.050733883,0.05191528,0.052822592,0.127156048,0.127467937,0.182974661,0.17432684,0.087876984,0.092782141,Mitochondria membrane
ATP5C1,0.036185691,0.035070121,0.031685916,0.035754462,0.121493925,0.123668817,0.227332383,0.211264437,0.086564422,0.090979826,Mitochondria membrane
ATP5D,0.053740673,0.055442029,0.056551609,0.065123117,0.089709567,0.090403055,0.237172789,0.209719923,0.072520319,0.069616917,Mitochondria membrane
ATP5F1,0.043280287,0.047870342,0.039679704,0.041896857,0.116464649,0.115145352,0.203135164,0.21290163,0.087751606,0.09187441,Mitochondria membrane
ATP5H,0.038390201,0.036370147,0.032192309,0.032229037,0.108311602,0.106732288,0.253718735,0.232434716,0.080921512,0.078699453,Mitochondria membrane
ATP5I,0.072031821,0.065362379,0.042643726,0.04279173,0.100735396,0.104879515,0.228426067,0.194459091,0.073613616,0.075056658,Mitochondria membrane
ATP5J,0.045470253,0.041765056,0.037474323,0.038722187,0.116147363,0.114179577,0.218318647,0.217051585,0.086073835,0.084797174,Mitochondria membrane
ATP5L,0.053736561,0.061244646,0.046901495,0.045118434,0.188584914,0.187361245,0.094441045,0.102989249,0.104746089,0.114876322,unknown
ATP5O,0.038776605,0.038869062,0.039923076,0.039340594,0.149614453,0.158286951,0.163889865,0.16931711,0.098189685,0.1037926,Mitochondria membrane
ATP5S,0.039364806,0.042626871,0.071880232,0.081389008,0.147586933,0.132462811,0.171062324,0.155392931,0.077045965,0.081188119,Mitochondria matrix
ATP5SL,0.028139545,0.036615098,0.037076112,0.040941531,0.154705439,0.159652467,0.176373066,0.18659515,0.081377721,0.098523871,Mitochondria membrane
ATP6AP1,0.0369884,0.041918102,0.041313615,0.041042637,0.117499922,0.112653597,0.122773557,0.133049849,0.174926263,0.177834058,"ER, peroxisome"
ATP6AP2,0.041668252,0.043989497,0.038890369,0.037644126,0.09765402,0.098824156,0.180448267,0.176034096,0.141367632,0.143479584,"ER, Mitochondrion"
ATP6V0A1,0.061533508,0.064017295,0.051607562,0.049040982,0.08221333,0.077898901,0.13709581,0.136065498,0.174784968,0.165742146,"Golgi, Endo/Lyosome"
ATP6V0A2,0.033607599,0.029887851,0.036603805,0.035128893,0.084626587,0.084403959,0.099440646,0.109477473,0.225541033,0.261282154,"Golgi, Endo/Lyosome"
ATP6V0A4,0.070499524,0.06617247,0.02648089,0.037302775,0.072361262,0.065985446,0.174807875,0.168211031,0.162914853,0.155263874,unknown
ATP6V0D1,0.057190569,0.058070424,0.042089386,0.043804205,0.080928696,0.079860301,0.15463899,0.153346142,0.167423821,0.162647465,"Golgi, Endo/Lyosome"
ATP6V1A,0.188082871,0.190357899,0.080763472,0.080303449,0.058607048,0.058356125,0.091017824,0.083222509,0.083414883,0.08587392,unknown
ATP6V1B2,0.195331654,0.212401343,0.075692695,0.071796809,0.051905961,0.050277078,0.089319899,0.085037783,0.084827876,0.0834089,unknown
ATP6V1C1,0.191296874,0.199865315,0.1001719,0.080376763,0.075884313,0.076513433,0.065614589,0.066101935,0.062947473,0.081227405,unknown
ATP6V1D,0.188452557,0.196269096,0.087470365,0.089475748,0.059314783,0.063102729,0.074484394,0.075616321,0.08245245,0.083361557,unknown
ATP6V1E1,0.19430521,0.204035213,0.093517543,0.076719599,0.060233352,0.05818626,0.0610842,0.05439535,0.086601238,0.110922034,unknown
ATP6V1F,0.095492018,0.094213939,0.067822863,0.060543734,0.118624414,0.114197688,0.093782269,0.085605945,0.112386369,0.15733076,unknown
ATP6V1G1,0.269792582,0.285945149,0.058993348,0.05856188,0.042605435,0.036117736,0.06588898,0.05940128,0.059040417,0.063653194,unknown
ATP6V1H,0.255571821,0.25842558,0.065167689,0.060479958,0.044336069,0.041926411,0.071853874,0.067725381,0.069534681,0.064978535,unknown
ATP7A,0.051873013,0.047403585,0.037589273,0.039635073,0.091683177,0.089978344,0.171607612,0.157047413,0.157287011,0.155895498,"ER, peroxisome"
ATP7B,0.065871695,0.056221064,0.074776471,0.07078342,0.081334534,0.097015672,0.120137164,0.128860025,0.15478302,0.150216935,"Golgi, Endo/Lyosome"
ATP8B1,0.041786281,0.0414561,0.034935018,0.037328833,0.135511919,0.13805248,0.178994965,0.180572498,0.106795315,0.104566591,Plasma Membrane
ATP9A,0.053306631,0.05377088,0.038851213,0.03727641,0.100769196,0.100987666,0.141541122,0.134185972,0.165381639,0.17392927,"Golgi, Endo/Lyosome"
ATP9B,0.055845521,0.05548925,0.034914584,0.034905677,0.082450077,0.076242051,0.14020165,0.130065732,0.201747511,0.188137948,"Golgi, Endo/Lyosome"
ATPAF1,0.052419355,0.049722039,0.081330919,0.09254078,0.130120328,0.12112318,0.182969424,0.161116597,0.058984346,0.069673031,Mitochondria matrix
ATPAF2,0.043101345,0.042031787,0.093361229,0.114564765,0.112866605,0.109995684,0.195757417,0.176768056,0.056226897,0.055326215,unknown
ATPIF1,0.068195168,0.064566556,0.086480341,0.101639034,0.120502132,0.116134533,0.162965419,0.156541923,0.06092847,0.062046423,unknown
ATR,0.060174763,0.058052245,0.143531833,0.112686409,0.100576112,0.09665267,0.067626547,0.069271269,0.13128371,0.160144441,unknown
ATRAID,0.058227608,0.044789139,0.080406263,0.058383065,0.166469465,0.1391607,0.082574037,0.085830015,0.126197241,0.157962466,unknown
ATRIP,0.070022253,0.062497643,0.13402859,0.145466375,0.082742428,0.090097311,0.076622789,0.079432731,0.12976653,0.129323351,unknown
ATRN,0.04371431,0.044417564,0.06033925,0.060236106,0.116599623,0.105169391,0.152878187,0.148621152,0.131311711,0.136712706,"ER, Mitochondrion"
ATRX,0.047455668,0.041648701,0.103663068,0.108589357,0.181061767,0.181988313,0.103442898,0.113671599,0.0588953,0.05958333,Nucleus (speckles)
ATXN1,0.067235217,0.060179269,0.190288349,0.20253903,0.087810434,0.090153157,0.078124711,0.07445784,0.073078134,0.076133859,Nucleosol
ATXN10,0.228533353,0.228265151,0.081726216,0.067637223,0.07194522,0.070905936,0.056355971,0.057009714,0.065340742,0.072280472,unknown
ATXN1L,0.083131603,0.078855839,0.196518174,0.224816124,0.067744419,0.078763089,0.078809464,0.077084319,0.058543643,0.055733326,unknown
ATXN2,0.158264885,0.161367081,0.115010399,0.122096098,0.062599147,0.062660838,0.073492086,0.070107872,0.087927874,0.086473719,unknown
ATXN2L,0.16424912,0.160933628,0.119498796,0.121747335,0.075841879,0.080100876,0.07527754,0.07335526,0.067800048,0.061195517,unknown
ATXN3,0.187026879,0.199569385,0.137463475,0.143563849,0.059739239,0.060268963,0.061448027,0.056953914,0.046376514,0.047589754,Cytosol_5
ATXN7,0.021048568,0.019559543,0.070728703,0.08090371,0.102954153,0.113919629,0.102733556,0.112880988,0.184473694,0.190797456,unknown
ATXN7L1,0.220242112,0.196713848,0.045007764,0.050706905,0.102893472,0.119933984,0.079682279,0.080999341,0.052446728,0.051373566,unknown
ATXN7L2,0.038707739,0.045245531,0.094324504,0.092175592,0.09589066,0.104040137,0.125875272,0.122005409,0.140899447,0.140835708,unknown
ATXN7L3,0.052641019,0.045968971,0.092251816,0.094843512,0.086081966,0.096018294,0.112958479,0.112949511,0.157958927,0.148327504,unknown
ATXN7L3B,0.274734438,0.274033029,0.080716685,0.074450757,0.054265741,0.052130338,0.056759642,0.05374358,0.039972567,0.039193223,Cytosol_3
AUH,0.055096601,0.049009414,0.09499414,0.106308367,0.121980037,0.119787138,0.198759878,0.147897841,0.0535559,0.052610685,unknown
AUNIP,0.085289774,0.093255762,0.138823003,0.171546207,0.081154621,0.079624077,0.112463638,0.107764601,0.070458716,0.059619602,unknown
AUP1,0.058300476,0.057720372,0.049390437,0.048148652,0.127269431,0.128955359,0.104881033,0.108225697,0.153591661,0.163516882,"ER, Mitochondrion"
AURKA,0.184120861,0.194852535,0.089855467,0.092676461,0.075648531,0.079064314,0.059895147,0.062809608,0.079582629,0.081494447,unknown
AURKAIP1,0.064317575,0.062219022,0.041742765,0.050136977,0.103926665,0.107737426,0.164784701,0.143430388,0.126843917,0.134860565,unknown
AURKB,0.059370188,0.066448145,0.062197769,0.060838008,0.177669317,0.192869814,0.084881449,0.094624895,0.084953489,0.116146926,Nucleus (Nucleolus)
AVEN,0.333604606,0.268149286,0.042736863,0.037534511,0.04706455,0.048859514,0.062785692,0.060443113,0.052099575,0.04672229,unknown
AVL9,0.150015735,0.149997752,0.071680978,0.076005934,0.058103673,0.05983905,0.090338533,0.088216518,0.126565661,0.129236164,Cytosol_1
AVPI1,0.205725796,0.169864742,0.106046143,0.072353093,0.092973402,0.087545302,0.056246764,0.057063811,0.070743269,0.081437678,unknown
AXIN1,0.270146029,0.234101652,0.076238975,0.079430827,0.049477771,0.055512239,0.062789338,0.063138573,0.054196514,0.054968081,unknown
AXL,0.038904753,0.0373615,0.035005036,0.036326504,0.123709721,0.125659579,0.153262547,0.159149086,0.143226784,0.14739449,unknown
AZGP1,0.079920481,0.09484942,0.105878867,0.091150637,0.094753845,0.100469277,0.115885653,0.163014078,0.072771411,0.08130633,unknown
AZI1,0.066969597,0.066254014,0.071459878,0.079957423,0.078016405,0.072300688,0.097587592,0.095977531,0.194200202,0.177276671,"Nucleosol, Ribosome"
AZI2,0.180648075,0.214311149,0.100007817,0.104428483,0.060169705,0.065302542,0.085938111,0.081951694,0.057790014,0.049452411,unknown
AZIN1,0.300821098,0.2758484,0.085159568,0.081341261,0.037155685,0.038563281,0.048157586,0.03902439,0.054969057,0.038959673,unknown
B2M,0.046020311,0.044379674,0.043903065,0.045296231,0.127768001,0.121892873,0.154788092,0.154467297,0.12467004,0.136814416,"ER, Mitochondrion"
B3GALNT1,0.068212894,0.070101525,0.057171669,0.062495727,0.091713954,0.103789225,0.095670678,0.090244069,0.152893621,0.207706638,unknown
B3GALNT2,0.07802924,0.083056508,0.039125646,0.040946476,0.125006662,0.119153358,0.112793775,0.115218588,0.131934699,0.154735047,unknown
B3GALT6,0.051075175,0.045304662,0.027835269,0.035666678,0.115541797,0.112586382,0.087329428,0.0997562,0.175798927,0.249105483,"Golgi, Endo/Lyosome"
B3GALTL,0.031151531,0.038293175,0.125389158,0.141106436,0.082209098,0.08136946,0.153965169,0.141285685,0.110360573,0.094869715,unknown
B3GAT3,0.041966994,0.040176625,0.056957857,0.058887374,0.078460839,0.087802299,0.170298426,0.151429976,0.166272414,0.147747196,"Golgi, Endo/Lyosome"
B3GNT1,0.048169088,0.057093155,0.050395755,0.051717839,0.085735409,0.089545099,0.116760894,0.108558754,0.19338958,0.198634426,"Golgi, Endo/Lyosome"
B3GNT2,0.042052056,0.048800393,0.059251979,0.055118732,0.08042719,0.08592941,0.137555505,0.137239588,0.179072257,0.17455289,"Golgi, Endo/Lyosome"
B3GNT3,0.050538939,0.101026263,0.055339063,0.046237752,0.105551111,0.096303561,0.099864943,0.103632782,0.153277074,0.188228513,unknown
B3GNT5,0.054042904,0.062143714,0.08170192,0.076620162,0.10155078,0.094659466,0.111414266,0.108132688,0.145233273,0.164500825,unknown
B3GNT9,0.031982921,0.028706186,0.018637673,0.039658425,0.048485751,0.048148148,0.199046768,0.193267799,0.216413464,0.175652865,unknown
B3GNTL1,0.153090126,0.163774974,0.124885519,0.149282589,0.069629592,0.064872291,0.073140328,0.069366711,0.06911231,0.062845562,unknown
B4GALNT1,0.061370782,0.058061618,0.050324958,0.05569662,0.077274936,0.078695768,0.139049051,0.141909048,0.174899854,0.162717364,unknown
B4GALT1,0.064034122,0.067071673,0.048373455,0.050146876,0.081577344,0.07612976,0.130969379,0.12492156,0.183926444,0.172849387,"Golgi, Endo/Lyosome"
B4GALT2,0.03739959,0.038790555,0.020603679,0.028410474,0.069817783,0.064923323,0.167463574,0.154684077,0.210157527,0.207749418,unknown
B4GALT3,0.044831357,0.052583228,0.048768538,0.046931187,0.091867536,0.090765125,0.096994619,0.101238024,0.225556674,0.200463712,"Golgi, Endo/Lyosome"
B4GALT4,0.042211571,0.035357122,0.028976074,0.028739373,0.071749808,0.070043592,0.156311024,0.146201945,0.201224925,0.219184567,"Golgi, Endo/Lyosome"
B4GALT5,0.033873546,0.041269316,0.02551311,0.034626904,0.088896239,0.089778219,0.096751374,0.091257373,0.190976242,0.307057678,"Golgi, Endo/Lyosome"
B4GALT7,0.030082077,0.027805908,0.024835315,0.029378008,0.078537465,0.07741867,0.121013088,0.119836424,0.228697086,0.262395957,unknown
B9D1,0.146147844,0.123793366,0.076353607,0.092711206,0.072089563,0.098236319,0.124237916,0.107526492,0.081234577,0.07766911,unknown
B9D2,0.044820157,0.037378973,0.09371566,0.046905419,0.146037569,0.149524543,0.073295666,0.069782735,0.149264967,0.189274311,unknown
BABAM1,0.288097092,0.260918424,0.077305892,0.090052415,0.044685069,0.043810151,0.051676392,0.052366695,0.046346612,0.044741257,unknown
BACE1,0.09285495,0.108180183,0.066081846,0.072906706,0.091118031,0.08091583,0.138681521,0.112908461,0.109048642,0.127303829,unknown
BACE2,0.049967929,0.057674066,0.035504242,0.033986503,0.10967468,0.103576623,0.126451112,0.131456035,0.155107461,0.19660135,"Golgi, Endo/Lyosome"
BACH1,0.228976257,0.227138474,0.076243375,0.076727434,0.081609045,0.076366441,0.074676337,0.078237041,0.040316361,0.039709236,unknown
BAD,0.039290675,0.0380776,0.039281415,0.04526345,0.098064636,0.101629781,0.241050097,0.217270118,0.090915826,0.089156403,unknown
BAG1,0.171684456,0.167779041,0.113513421,0.106446072,0.07778357,0.076262423,0.077099909,0.075912047,0.06480255,0.068716511,unknown
BAG2,0.055450329,0.058362246,0.06037138,0.059504001,0.102102953,0.098952064,0.098987467,0.104899809,0.178202223,0.183167528,unknown
BAG3,0.215775622,0.230093093,0.119198699,0.126276521,0.051997717,0.053249751,0.058998884,0.055327956,0.046742584,0.042339173,Cytosol_5
BAG4,0.080334525,0.089014305,0.142275741,0.160780808,0.085615035,0.091314633,0.100804649,0.102257488,0.071896886,0.075705931,unknown
BAG5,0.108157007,0.096794912,0.108419348,0.093719186,0.094705228,0.090372072,0.103570556,0.102204572,0.099101707,0.102955411,unknown
BAG6,0.129793357,0.135410166,0.106138617,0.109389085,0.074526732,0.077881215,0.091498509,0.091871229,0.089678247,0.093812842,Cytosol_2
BAHD1,0.09545956,0.081295504,0.102828399,0.112332877,0.104478666,0.095803733,0.090420509,0.092035476,0.109155893,0.116189384,unknown
BAIAP2,0.068800868,0.070365346,0.075809369,0.076650389,0.089437511,0.089256647,0.144519805,0.144971966,0.119849882,0.120338217,unknown
BAIAP2L1,0.067369532,0.071572168,0.098161574,0.106002856,0.079322484,0.083033903,0.13190092,0.130700166,0.116191065,0.115745331,unknown
BAK1,0.077866901,0.083002624,0.045913365,0.048527915,0.13365953,0.129522938,0.168955954,0.160458667,0.078511201,0.073580906,Mitochondria membrane
BANF1,0.075843143,0.0762667,0.114792722,0.055724194,0.225129273,0.227635318,0.052053368,0.056783086,0.049503203,0.066268994,unknown
BANP,0.076321333,0.063892458,0.084117786,0.114333412,0.106912797,0.118825987,0.091389814,0.094178007,0.123572034,0.126456372,unknown
BAP1,0.052789877,0.054009445,0.107404521,0.107734629,0.06637935,0.079977993,0.076245931,0.074622897,0.194819128,0.18601623,unknown
BARD1,0.061214517,0.059259917,0.070161254,0.066891742,0.154910932,0.149171516,0.084189952,0.08520279,0.124596864,0.144400515,"Nucleosol, Ribosome"
BARX2,0.13193797,0.122734388,0.069736808,0.067204968,0.12286269,0.127652659,0.113325521,0.117396994,0.068334032,0.05881397,unknown
BASP1,0.048234942,0.038473777,0.110564145,0.074589151,0.177497847,0.112492045,0.16886909,0.097274735,0.098790851,0.073213417,unknown
BAX,0.197211223,0.19482686,0.062119808,0.061951302,0.066138681,0.065692139,0.11401129,0.106546466,0.069458253,0.06204398,Cytosol_3
BAZ1A,0.038575479,0.03640362,0.045200102,0.04517284,0.158391189,0.163271055,0.086974301,0.094916579,0.16488859,0.166206245,Nucleus (Nucleolus)
BAZ1B,0.040712377,0.038201364,0.035046959,0.037799244,0.242058138,0.248045252,0.097187843,0.109876951,0.072801523,0.078270349,Nucleus (Nucleolus)
BAZ2A,0.036513295,0.036052559,0.038489142,0.040987746,0.243259527,0.242497541,0.082932405,0.08722079,0.093378698,0.098668297,Nucleus (Nucleolus)
BAZ2B,0.0471475,0.039276043,0.046705181,0.045549738,0.245811518,0.246037191,0.10710417,0.108828308,0.055750135,0.057790215,Nucleus (Nucleolus)
BBC3,0.061414671,0.050373616,0.062610626,0.07276189,0.095676384,0.099694792,0.185774835,0.174389345,0.101302156,0.096001684,Mitochondria membrane
BBS10,0.095012827,0.116005044,0.071307448,0.074881517,0.084499326,0.106187226,0.11614418,0.110178703,0.101334841,0.124448889,unknown
BBS2,0.154902511,0.174987033,0.104104487,0.110736971,0.06451366,0.068552673,0.086188278,0.078918055,0.082693469,0.074402864,unknown
BBS4,0.090577482,0.101208879,0.076719599,0.078059054,0.064057959,0.064108504,0.072810749,0.078042205,0.183943389,0.190472179,unknown
BBS7,0.151364722,0.154753232,0.110211274,0.098292191,0.076690443,0.08199346,0.077825593,0.076063568,0.091523643,0.081281873,unknown
