SYMBOL,FS1.A.A431,FS1.B.A431,FS2.A.A431,FS2.B.A431,FP1.A.A431,FP1.B.A431,FP2.A.A431,FP2.B.A431,FP3.A.A431,FP3.B.A431,markers
ABCD4,0.053490513,0.036134026,0.039172752,0.038439882,0.090160784,0.092582828,0.141408003,0.141220317,0.178936267,0.188454629,"Golgi, Endo/Lyosome"
ABCE1,0.234811565,0.24225186,0.115532701,0.088381692,0.061664268,0.058733242,0.048058412,0.048223174,0.050781318,0.051561768,unknown
ABCF1,0.237028603,0.229355906,0.092897392,0.089943816,0.058617759,0.068212756,0.058758013,0.057578233,0.057297725,0.050309795,unknown
ABCF2,0.164070432,0.163306749,0.12692765,0.140040441,0.065772231,0.069720822,0.069278232,0.065581311,0.069217485,0.066084647,unknown
ABCF3,0.259366612,0.266680431,0.089004654,0.083080539,0.05577085,0.055945555,0.05563585,0.050918794,0.042072328,0.041524387,unknown
ABCG2,0.039677877,0.044630833,0.043564321,0.047143464,0.126426912,0.118292496,0.14436782,0.155683698,0.138059128,0.142153451,unknown
ABHD10,0.026709229,0.034513316,0.102043928,0.111058173,0.13579494,0.128229072,0.171003859,0.163542808,0.063042546,0.064062128,unknown
ABHD11,0.050532292,0.049074994,0.090910811,0.104603738,0.133248167,0.135509818,0.162611781,0.146751833,0.061301159,0.065455406,unknown
ABHD12,0.053068114,0.046933701,0.036071435,0.040536126,0.098350242,0.093885551,0.181291856,0.165647289,0.144621499,0.139594185,"ER, peroxisome"
ABHD13,0.045970071,0.045830052,0.026559902,0.030340422,0.079285902,0.082952656,0.115113328,0.117196114,0.203185438,0.253566115,"Golgi, Endo/Lyosome"
ABHD14B,0.190327861,0.189734939,0.128872781,0.128355018,0.078232258,0.077405508,0.049721911,0.052452692,0.052369181,0.052527851,Cytosol_3
ABHD16A,0.070650558,0.065390335,0.05760223,0.05802974,0.102490706,0.105204461,0.145669145,0.147862454,0.119488848,0.127611524,"ER, Mitochondrion"
ABHD17A,0.056110508,0.064359715,0.049777872,0.055297952,0.08874522,0.088992519,0.161283485,0.15088807,0.139971561,0.144573099,unknown
ABHD17B,0.115577457,0.099520971,0.032439777,0.039715507,0.08146065,0.082699072,0.121244958,0.123523999,0.146710011,0.157107597,unknown
ABHD17C,0.03339657,0.039754691,0.03625162,0.031367982,0.108050489,0.102979019,0.169800334,0.153853378,0.15544056,0.169105355,"Golgi, Endo/Lyosome"
ABHD2,0.064385793,0.054325231,0.041655043,0.042878868,0.087593474,0.089960136,0.181297075,0.16314667,0.133018978,0.141738731,"ER, peroxisome"
ABHD3,0.030147757,0.023397045,0.037603362,0.050038408,0.128091817,0.114671727,0.151769012,0.158962541,0.14383444,0.161483891,unknown
ABHD4,0.184926395,0.185484069,0.07804158,0.086103252,0.067134129,0.067084922,0.09654324,0.090277607,0.071037848,0.073366958,unknown
ABHD5,0.062473636,0.062772427,0.054028403,0.051892927,0.074891029,0.080365931,0.190795487,0.180170838,0.114586263,0.12802306,unknown
ABHD6,0.060145765,0.05489856,0.0487228,0.044080031,0.137662497,0.13878377,0.098987351,0.106818739,0.14336522,0.166535268,"ER, peroxisome"
ABHD8,0.267420675,0.198668654,0.077814321,0.080984943,0.050832485,0.041707088,0.083847968,0.07633943,0.059137622,0.063246812,unknown
ABI1,0.135123687,0.155743816,0.089325652,0.091333446,0.073322603,0.075237208,0.097992206,0.101135208,0.089698407,0.091087767,unknown
ABI2,0.163852081,0.188676895,0.079622065,0.088605493,0.065897845,0.06261001,0.101665504,0.090016937,0.078019661,0.081033509,unknown
ABI3BP,0.082130125,0.107932264,0.123814617,0.134197861,0.10355615,0.0957041,0.083921569,0.088092692,0.078377897,0.102272727,unknown
ABL1,0.19797248,0.17764697,0.09519617,0.103614822,0.069353256,0.070678104,0.077042404,0.074761653,0.07003245,0.063701691,Cytosol_2
ABL2,0.235995842,0.270554556,0.082317224,0.084874684,0.048344251,0.053417922,0.063078522,0.063293019,0.050225222,0.047898758,Cytosol_3
ABLIM1,0.090297232,0.093259704,0.094987067,0.096445928,0.111696843,0.111052438,0.136936034,0.128827273,0.069613626,0.066883855,unknown
ABLIM2,0.17701157,0.170229423,0.113013812,0.134703497,0.066362857,0.067640175,0.079984837,0.074323433,0.057273297,0.059457099,unknown
ABLIM3,0.052195277,0.054288184,0.08202375,0.084207653,0.152654807,0.14629419,0.140060967,0.140133764,0.074307293,0.073834114,unknown
ABO,0.05437192,0.056277136,0.056423691,0.058759412,0.080403759,0.079258798,0.140775276,0.127182296,0.157317676,0.189230036,unknown
ABR,0.233839911,0.241591784,0.081982691,0.084434138,0.055381175,0.059447596,0.065319475,0.064839124,0.055927782,0.057236324,Cytosol_1
ABRACL,0.386604775,0.371131742,0.069832687,0.067154662,0.023362579,0.021169149,0.019936408,0.015719581,0.011060668,0.014027749,Cytosol_4
ABT1,0.078051887,0.081908485,0.05538995,0.050852255,0.150964592,0.150310032,0.085057451,0.090745049,0.128399954,0.128320345,Nucleus (Nucleolus)
ABTB1,0.139119308,0.125822126,0.103952467,0.099693073,0.084087228,0.073904056,0.086386943,0.089035641,0.100910043,0.097089116,unknown
ABTB2,0.169627223,0.173943985,0.099210622,0.103892577,0.065125991,0.072673303,0.077018157,0.075744665,0.083909994,0.078853483,unknown
ACAA1,0.050374003,0.051799683,0.065106023,0.063319172,0.090083925,0.08635815,0.164247764,0.16736525,0.129499206,0.131846825,unknown
ACAA2,0.049775591,0.053831179,0.098028083,0.114412661,0.112411904,0.113673642,0.199039276,0.164062078,0.048820274,0.045945313,unknown
ACACA,0.198425666,0.206067569,0.097123649,0.086835163,0.06926219,0.065602927,0.064820015,0.066156072,0.072827844,0.072878904,unknown
ACAD10,0.060331067,0.052949529,0.081170463,0.068091824,0.184644284,0.182095581,0.101798203,0.11186073,0.076205343,0.080852978,unknown
ACAD11,0.044387674,0.044829108,0.044791539,0.047158381,0.106141578,0.109363113,0.142376797,0.16021264,0.148087273,0.152651896,unknown
ACAD8,0.051463896,0.057835255,0.096243553,0.098035498,0.137183328,0.131257585,0.1543348,0.142909967,0.065780492,0.064955628,unknown
ACAD9,0.041199662,0.040730311,0.070158641,0.074401577,0.132263212,0.131089834,0.191354548,0.182314841,0.067201727,0.069285647,Mitochondria matrix
ACADM,0.049323063,0.051490388,0.101094921,0.117983168,0.117542197,0.116847903,0.181576799,0.16400364,0.051481005,0.048656915,unknown
ACADS,0.047376611,0.042861809,0.110401337,0.115876736,0.157835584,0.149977906,0.134022401,0.120804595,0.064350349,0.056492671,unknown
ACADSB,0.037594552,0.035767104,0.098776364,0.102224022,0.126056199,0.121826694,0.20697256,0.170046817,0.049906273,0.050829416,unknown
ACADVL,0.046878072,0.045580545,0.085037156,0.083356269,0.157344788,0.144959305,0.145283687,0.143337396,0.072317462,0.07590532,unknown
ACAP2,0.221336191,0.24294982,0.097992308,0.090225689,0.061468431,0.059341956,0.061642868,0.059051226,0.053028982,0.052962529,Cytosol_3
ACAP3,0.230871542,0.232459534,0.072765525,0.083454246,0.058949184,0.059892307,0.075490101,0.058239827,0.061923647,0.065954085,unknown
ACAT1,0.035733142,0.03356464,0.097912581,0.116863403,0.115741439,0.114336627,0.213616307,0.178335722,0.048451878,0.04544426,unknown
ACAT2,0.17538475,0.180447709,0.146047569,0.135711787,0.07698496,0.072201819,0.057109129,0.055989857,0.049527807,0.050594614,Cytosol_5
ACBD3,0.099514788,0.099301813,0.136294609,0.130044262,0.078346945,0.081337852,0.106357761,0.096181269,0.085634387,0.086986314,unknown
ACBD4,0.038703114,0.030387591,0.021633426,0.029491642,0.099515628,0.103267413,0.178993738,0.187234599,0.16022548,0.150547369,"ER, peroxisome"
ACBD5,0.037089291,0.040213995,0.03440962,0.036511694,0.100123094,0.096326105,0.193693779,0.193494934,0.134778904,0.133358583,"ER, peroxisome"
ACBD6,0.204946875,0.233062703,0.134614394,0.106996344,0.055279013,0.061518392,0.058540311,0.055845449,0.045048834,0.044147685,Cytosol_5
ACBD7,0.269319842,0.288049053,0.103515807,0.113797445,0.042097983,0.042338898,0.039875346,0.039665516,0.031660916,0.029679194,unknown
ACCS,0.403032314,0.30846758,0.078323841,0.07781335,0.019354886,0.02766859,0.026713243,0.022271975,0.022578269,0.013775953,unknown
ACD,0.154201677,0.150221097,0.100921862,0.082409667,0.125379946,0.113005171,0.073390905,0.069127187,0.059533822,0.071808666,unknown
ACIN1,0.044379993,0.045556528,0.071020758,0.077870198,0.167980008,0.166447776,0.101802196,0.106946117,0.108441866,0.109554558,Nucleus (speckles)
ACLY,0.152334656,0.159586139,0.15850689,0.156723008,0.065414976,0.066467466,0.05668287,0.053204299,0.066039335,0.06504036,Cytosol_5
ACN9,0.050049725,0.04060205,0.08846198,0.111354422,0.140089504,0.134409425,0.152052096,0.177947139,0.053195762,0.051837898,unknown
ACO1,0.217408651,0.21405216,0.125517134,0.107338312,0.065048266,0.065351824,0.047884197,0.045186862,0.057069012,0.055143583,unknown
ACO2,0.045638676,0.045884758,0.105322935,0.112137503,0.123230105,0.119680851,0.184665329,0.161467404,0.051459453,0.050512986,unknown
ACOT1,0.069422058,0.072822756,0.101037921,0.110584672,0.106626047,0.106572911,0.153208523,0.130430932,0.074726793,0.074567385,unknown
ACOT11,0.255345149,0.273458802,0.104741637,0.097925118,0.046119572,0.047266742,0.052570327,0.048754738,0.036759327,0.037058589,Cytosol_4
ACOT13,0.061046852,0.056924254,0.09358657,0.095368828,0.126594356,0.113569468,0.186191998,0.156181646,0.050902381,0.059633647,unknown
ACOT2,0.022347267,0.025524872,0.083809344,0.07157178,0.229714394,0.196983166,0.116852657,0.113098165,0.069065633,0.071032722,unknown
ACOT4,0.05878062,0.054800072,0.066975865,0.062914265,0.095704251,0.095686239,0.150432277,0.1526567,0.126630043,0.135419669,unknown
ACOT7,0.222357903,0.247317415,0.110880165,0.107840335,0.057522929,0.055184598,0.056769467,0.052153429,0.050135537,0.039838222,unknown
ACOT8,0.047334889,0.043826274,0.052925341,0.058372218,0.086019383,0.091520101,0.181191673,0.180482771,0.126992103,0.131335248,unknown
ACOT9,0.047782071,0.047121236,0.084999954,0.097179518,0.125668866,0.115802227,0.181426854,0.158554606,0.070580893,0.070883776,unknown
ACOX1,0.044282844,0.045716495,0.065872499,0.068862417,0.093074144,0.090706733,0.177810475,0.164596361,0.124322081,0.124755949,unknown
ACOX3,0.049164761,0.042729921,0.057950439,0.067565823,0.0870916,0.086962534,0.157967033,0.160695848,0.146332694,0.143539347,unknown
ACP1,0.312490496,0.262190779,0.076413954,0.079087002,0.048274924,0.048298933,0.045249738,0.045465823,0.041368216,0.041160135,Cytosol_4
ACP2,0.024100442,0.024543465,0.044931376,0.047394583,0.066843285,0.065850914,0.207822011,0.190393493,0.163502007,0.164618424,unknown
ACP5,0.045165129,0.048428047,0.105672915,0.141485669,0.065972429,0.081136566,0.144639492,0.125280175,0.134880492,0.107339086,unknown
ACPL2,0.053367476,0.056583879,0.049043497,0.057150958,0.071824135,0.075439265,0.169060509,0.141947031,0.17643254,0.14915071,"Golgi, Endo/Lyosome"
ACPP,0.050110459,0.044050714,0.072291081,0.069212411,0.076532016,0.08968956,0.178997613,0.157730834,0.136375332,0.125009981,unknown
ACSF2,0.050792346,0.055099791,0.092409179,0.103079683,0.116357079,0.116366422,0.194049933,0.170373,0.05252093,0.048951637,unknown
ACSF3,0.062922012,0.059817339,0.101730427,0.102511357,0.146110111,0.139100788,0.130662933,0.120987019,0.065845738,0.070312277,unknown
ACSL1,0.045751695,0.044394023,0.056520081,0.051954211,0.121865033,0.122051015,0.14697267,0.147363233,0.125761366,0.137366674,"ER, Mitochondrion"
ACSL3,0.042173129,0.041082056,0.040432822,0.041217313,0.095482417,0.096122633,0.19116321,0.182019838,0.133769161,0.136537421,"ER, peroxisome"
ACSL4,0.050420926,0.050511157,0.058794337,0.061492236,0.094823464,0.098369531,0.170238299,0.169092369,0.123931894,0.122325787,"ER, Mitochondrion"
ACSL5,0.048322048,0.045853786,0.039929957,0.037899463,0.106526457,0.105464639,0.153414118,0.15559364,0.153991599,0.153004294,unknown
ACSM3,0.100785929,0.086619799,0.135733754,0.148144555,0.081636073,0.085914139,0.088657393,0.084000035,0.097733948,0.090774374,unknown
ACSS2,0.153156339,0.146274232,0.171680902,0.149039769,0.075104728,0.072973904,0.064169523,0.065593094,0.050668263,0.051339245,Cytosol_5
ACTA1,0.121332513,0.111332332,0.13326938,0.142853264,0.08111459,0.089377183,0.065458198,0.068517077,0.101359301,0.085386161,unknown
ACTB,0.240539101,0.214807785,0.075012903,0.080240747,0.054517756,0.061543712,0.071025423,0.067645639,0.065439622,0.069227311,unknown
ACTBL2,0.097620157,0.103211513,0.120548234,0.103167556,0.084872568,0.090551839,0.108952324,0.110851275,0.091562854,0.088661679,unknown
ACTG1,0.302807736,0.24384452,0.072663201,0.076423086,0.041739289,0.045141452,0.059153493,0.056984329,0.049030726,0.052212167,unknown
