,n113,n114,n115,n116,n117,n118,n119,n121,markers
Q62261,0.0005765334016290906,0.00034722090506150396,0.00022396758736701426,0.0005205970536656206,0.0006169715418658138,0.000972004412233299,0.00038083846021015686,6.414666900279663e-05,unknown
Q9JHU4,0.0003214456905332963,0.00028107911409257984,0.0003139853824428092,0.000255448749408214,0.000262177239921052,0.0012785737338775322,0.0010153688588425828,0.00013291161224847917,unknown
Q9QXS1,0.0009960291842726575,0.0005071261565854129,0.00044874999478401907,0.0003575401594531216,0.0003609066126575767,0.0006519952530369519,0.0007163668496757393,0.0001210372663157366,unknown
P16546,0.0005954725313298645,0.000339220789619342,0.0003970997522593336,0.00047122709859130754,0.000562863164123911,0.000890551717522225,0.0005064736436562164,0.00011164633951666525,unknown
Q69ZN7,0.0008633928910304455,0.0014383938779389271,0.0009308253864646745,0.0007705273888244887,0.0002578262669706961,0.00016862806120650702,9.309508904958947e-05,2.9920981600903033e-05,unknown
P30999,0.0013135630835421886,0.0007259643591217982,0.0006636071678127451,0.0006650069484753456,0.00042739310212705256,0.00026072245771065753,0.0001357769802957875,0.00011873316747913899,Plasma membrane
Q03265,9.95099990177496e-05,0.00010191669315573991,0.0001542709943351407,0.0003820707360585782,0.0014165891961774007,0.0008571374433017384,0.00040814584709316195,8.271944290931877e-06,Mitochondrion
P58252,0.0004258935027711932,0.0003843673804299798,0.00025221339553015544,0.0003460436601989617,0.0002728759179809047,0.00034882313078002066,0.001223775835577545,0.0006994170856105473,unknown
P63038,9.43711098050024e-05,0.00010417715927617152,0.00010299898608822078,0.0004271475036312565,0.001472787865930345,0.0008603417573839287,0.0002451519399345381,2.637822597165189e-05,Mitochondrion
P52480,0.00031601409151748027,0.00026185985424301945,0.00020697381316707537,0.00020142454857079772,0.00013497193141862767,0.0004818475822076599,0.0005638190231685606,0.001394734008947271,unknown
Q62318,0.00011566013100578311,0.000129363241536586,9.047558563803819e-05,0.00017993139263498798,0.00017329631706259436,0.0009860087764462814,0.0009039036505850073,0.000927987082061087,unknown
P08113,0.0004257671995251826,0.000566908363683088,0.0004265795758214954,0.001017176182417814,0.0007018104014278278,0.0005193879091457234,0.00016232625896528814,2.2212490897653917e-05,Endoplasmic reticulum
P56480,8.986078005980006e-05,0.00010834688048923333,6.94079928096221e-05,0.00040877595098057104,0.0014842368941567143,0.0009097068362369103,0.0002310995828417226,7.022089539054975e-08,Mitochondrion
Q6PB66,0.0001303077041760668,0.00015024280238270518,0.00017626224262529025,0.0003813579215425826,0.001300362818258343,0.000834531580707637,0.000345058996626236,0.00012143458637747735,Mitochondrion
Q8BTM8,0.0005614977984620639,0.0004347161532425792,0.00032851184594012576,0.00043205862702535506,0.0004208419063066738,0.0009745415390530314,0.0006134534784629701,0.00010613413989867469,unknown
P07901,0.0003836924925565529,0.00027308622082713297,0.00017390851568638128,0.00014475791685169835,7.011207851736485e-05,6.207916085509262e-05,5.054551834236908e-05,0.002183746459551158,Cytosol
D4AFX7,0.000373203909093831,0.001227727688535237,0.000624781358895095,0.001149603224839293,0.00032656392912523246,0.00020660168588663562,0.00013823354424067816,0.00010924586919921024,unknown
Q61543,0.00042051159636701256,0.0005951565103157701,0.0007353804328535047,0.0010757510986936563,0.0005060066725761465,0.00037010925033194216,0.00030136690021978664,0.00012643924358702647,unknown
Q9CQN1,0.0002788661395417858,0.0002496564032278432,0.00034157420097482113,0.00016267731814286203,0.00019206643725491184,0.00011638583882656304,9.530904430303623e-05,0.002013514496214595,Mitochondrion
P38647,9.80233724041553e-05,0.00011280265853261361,9.152389365692961e-05,0.00039449208885801657,0.001448692534952338,0.0009132153115584534,0.00025864681415178263,1.230249324154654e-05,Mitochondrion
P43247,0.00019795496858271934,0.0002053995489359559,0.0002272680508459034,0.00018370601445900968,0.0001871119228055759,0.0011502678571212507,0.0007291759039014184,0.0007186044722519462,unknown
P80318,0.00045346502260207566,0.0004000744189041133,0.00020797653415518752,0.00030309036751004144,0.0002081644208132102,0.00043183668469489936,0.0006057841545864054,0.0010761006745378067,unknown
Q80U72,0.0016093587417115658,0.0007945429624448808,0.0004893656495847732,0.00047985639582960555,0.0003407525067554216,0.00026256716241521936,0.00015720871285345806,0.0001524693461043719,Plasma membrane
Q8BHN3,0.0004519924824644264,0.0005497268411837931,0.0005598964422643065,0.0009082290427395494,0.0006858681994583396,0.0005113148680567614,0.00020891718324202301,7.289751805341315e-05,unknown
P27773,0.00026305416737630073,0.0005215939359402234,0.0003447374114149971,0.001052677407874979,0.000704104295536037,0.0005979939225922106,0.0001828903848777275,5.6197540414932873e-05,Endoplasmic reticulum
Q3U7R1,0.0006360687901702466,0.0006271305811684517,0.0009823569700977022,0.0007677965249067545,0.0005185033070256279,0.00038883219829269713,0.0002622530910767542,0.0001640766620568144,unknown
Q922D8,0.00035530802076684645,0.00038729154756686,0.00044270394887758525,0.0004571312282091303,0.0003604807631395028,0.0003388015220625325,0.0015468478979173419,0.00032900392548114145,unknown
Q9CPY7,0.00020839055769261166,0.00020615749688735887,0.00015630766183515857,0.00031679799849050687,0.0009262738102202139,0.0006224495850874321,0.0002562923374504169,0.0007106682238620013,unknown
Q99K87,0.0001259697973608627,0.00012929585229570369,0.00011104325994565048,0.00040628886313588035,0.0014568824103274236,0.0008304786699738353,0.00028815483452631637,2.2714803597053775e-05,unknown
P08249,0.00010592271787779281,9.902966212457295e-05,0.0001615151162248429,0.0003665245640219985,0.0014934187958495532,0.0007927855261676051,0.0003914922998006554,1.7228602035403106e-05,Mitochondrion
