,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,markers
AT1G78900,0.8757080139711578,0.7663354380326545,0.5272820622387396,0.32037516386462656,0.28365953613677214,0.2532461112805239,0.06303646630604151,0.06297463369142027,0.02792812538097382,0.015817254251629064,1.0,0.694171169015795,0.4810104560324749,0.3636824163427321,0.3009333854398216,0.2459564827561498,0.04879040012991739,0.0447692746946862,0.0,0.01704922074296169,unknown
AT1G56340,0.8590625550417734,1.0,0.6931719375906753,0.5874681332447714,0.5289684013357866,0.3950246127358085,0.2697243454936305,0.29480960940058676,0.14999201562708894,0.17533285020361472,0.7788330206783762,0.9453440937568747,0.9735738654409459,0.8098585961368014,0.7088956436271087,0.5793406959331513,0.0,0.08956443344728973,0.06082490862623519,0.007319194184900728,ER
AT5G28540,0.6494817569247597,1.0,0.855018754673707,0.6309102329539198,0.4920253588157584,0.47583671510172504,0.09420329617021418,0.07456261343328109,0.04331968558777226,0.0,0.7404599288234722,0.7586310261563952,0.6578771193041971,0.5891925660005591,0.48809630437794754,0.3580060259995889,0.5152293778491586,0.09636757776286593,0.0782112095116163,0.03328728399460575,ER
AT5G42020,0.8449173353867696,1.0,0.9781494690736557,0.6737826467443069,0.5960827850162731,0.41598803690987946,0.12949225593615918,0.07067533939124132,0.06630128386598476,0.0,0.9304102408834503,0.9000122656375047,0.751398271408889,0.5569979668184836,0.4308725044441341,0.2964500405862659,0.6485452976452604,0.16333007776924932,0.09434702079833,0.0030254588215959852,ER
AT5G53560,0.6270335032082767,0.9199532972061134,0.9704048978365677,0.6258692115424845,0.433093381098746,0.36624799255190965,0.21540662705777422,0.23377051632485651,0.15350619990918427,0.11656206919119595,0.6563068374648476,1.0,0.984992283231133,0.8399443363245893,0.5822503687272711,0.38607247124612515,0.07885437917337892,0.054977219559467654,0.07844980020029611,0.0,unknown
AT4G38510,0.8038802769569587,0.5741795464777254,0.2880415462297773,0.1880856672718187,0.1405821162250087,0.07415693597141618,0.07156364874935156,0.04121152748984576,0.024481586105273984,0.006734544988821496,1.0,0.5496512471516856,0.2623343136453973,0.1681313021234968,0.11427478858128502,0.0701098471973883,0.028613496253850554,0.018732420766571948,0.0,0.001069980746322537,unknown
AT1G18210,1.0,0.8143782455636671,0.6480845969280443,0.5727344885439748,0.487598187387639,0.4031241311585801,0.17318011463399244,0.17648744285515616,0.15295404899265103,0.21271590373582097,0.9353893878910121,0.9477846202956111,0.8304606083527708,0.6418037649494437,0.5270160644101471,0.4622054897285942,0.013985465060280283,0.15966508162680357,0.12294667748486324,0.0,unknown
AT3G49870,0.95150708447997,0.580909783026221,0.31684334417755394,0.2022078467003588,0.12404682387925922,0.11143860596251418,0.01135420985342095,0.009222069227832596,0.007770796637529354,0.005359186580736605,1.0,0.5130419076798381,0.309769563825714,0.1877806616533801,0.13986364519921038,0.097081625474232,0.06152247029577948,0.0024667507497464903,0.0,0.009133130989292198,unknown
AT5G67560,0.8430097549583044,0.6287965922866923,0.48565477024080217,0.1869752952439628,0.0,0.17213656072543,0.07812246777724086,0.06935875417048175,0.05116355303706988,0.04844999532861281,1.0,0.5112192009833655,0.2971066058701064,0.23284158776280575,0.14018365967041993,0.116272440838092,0.1285361505621763,0.048122168879218316,0.0425960266682666,0.04678990509781408,unknown
AT2G30490,0.8760403409678197,0.9278827748292275,1.0,0.643991833022252,0.5267518010556523,0.4016328338666935,0.15186286057714707,0.08932653290133795,0.0,0.01840164176318499,0.7203679289599281,0.8662078473279562,0.8114956007760118,0.6455596394884953,0.5959040244824625,0.4984373557958976,0.2846757946802992,0.12919797340119904,0.037490228944930676,0.04655421612480596,ER
AT1G74020,0.022015893596699154,1.0,0.8784341317508976,0.3565833533736304,0.7289446338319164,0.4406136145804871,0.5429137786157648,0.4543241154036426,0.1459209734271458,0.26702145302055136,0.23669222225183015,0.7243194008996702,0.8911480036471408,0.8630269018848583,0.2829583508289401,0.739971003773093,0.6243529659832444,0.3267972794738425,0.1475058602351906,0.0,unknown
AT5G09810,0.6332159796682905,0.39933087513988974,0.4473371007125475,0.04340895668606066,0.0,0.15383987494755058,0.5830886674160735,0.8557348080081099,0.9344332805106274,1.0,0.7320822056146925,0.5066239193193095,0.17371019469334786,0.020940673406731926,0.12073143163845337,0.18123735885352826,0.7112359208318894,0.8251017087426896,0.9926681850503926,0.7860579068397805,unknown
AT1G21750,0.7924591003695484,1.0,0.7453839629006521,0.5072350706328554,0.46785760410596783,0.41147593026001655,0.05083420036092096,0.06547497319518872,0.0,0.003853389641051825,0.7260360283688239,0.7433499342319418,0.7009741609424819,0.5391912923549611,0.48089998310013404,0.46933393420413755,0.1294095882567369,0.09288926420177104,0.031135632187489586,0.1313544061273122,ER
AT2G21160,0.8458763564265721,0.9344377147625541,0.921551965218916,0.6886273646206462,0.44935767606616694,0.23455199946676478,0.2808170579329988,0.21155311786157918,0.08915000889339306,0.026704572529763257,0.6874742800494495,0.9804400590830639,1.0,0.7799850266930685,0.5816496194622057,0.28693232440888417,0.18351747505707047,0.10500876634460192,0.07762026795075233,0.0,unknown
AT4G11150,0.8899304565699893,0.6146662577114956,0.3957985199887264,0.32874576137113576,0.19199099567238365,0.16456177415888568,0.3036901187195269,0.0,0.05900485254066469,0.0004743446819270426,1.0,0.7924196294325843,0.41417246991407786,0.3001837221592088,0.12116925014440817,0.05362409160768554,0.18954028734707598,0.018512697271346273,0.02058261619091657,0.03865832072098097,unknown
AT1G15690,0.7635210346514918,0.7699828882508917,0.40007646873195035,0.3153566419576966,0.23491285386700733,0.23242398825971733,0.08689821059089549,0.11348789341437525,0.04556361515130206,0.06827955178908655,1.0,0.7174723299044315,0.43898089796808165,0.3152554701587591,0.24178525999735181,0.19949769202409323,0.06335837228600401,0.04054645515238065,0.013606664986777735,0.0,Vacuole
AT5G48810,0.6656139294574954,0.9653522975251843,1.0,0.7069829028917067,0.6083912760313879,0.45535597454410437,0.0,0.1265996542122861,0.08265304215448861,0.10688715986890458,0.6840316731913899,0.7839170248320757,0.9330166364878795,0.827143057493565,0.6372477874736284,0.46632363815033195,0.08234380480930745,0.12141451993862025,0.1306900668418685,0.0517080428928927,ER
AT1G09210,0.9589247959489611,0.7983748132113382,0.5707804194134166,0.5917269317393585,0.4291538983225622,0.3217705593904497,0.37702023449542316,0.2919647423451129,0.13094603243059677,0.26185101974401964,0.7080094533085131,0.9950478831010207,1.0,0.8147980662946657,0.6029704724130921,0.4318712311893514,0.1473321786455136,0.023052484554234535,0.009431652343490953,0.0,ER
AT1G33120,1.0,0.5798095208859168,0.6088437533658592,0.7683775897346855,0.5475957082081235,0.40438414188489163,0.07306762414407984,0.09993007601937165,0.1027844997510027,0.013199188636036552,0.9338481916101837,0.766638416702775,0.6197360206712924,0.6522102354182554,0.5200146508853043,0.2893650008799572,0.20712529285297848,0.1889724825775247,0.020081793939338774,0.0,Ribosome
AT4G24190,0.5590769609847096,1.0,0.8302748271316185,0.49487176539932526,0.4647577319869895,0.37091540119115907,0.19506054948631052,0.16493603652509425,0.015279042307093564,0.0,0.5036340503741592,0.7736914039479625,0.7736314833220604,0.632057344161454,0.5297491824071153,0.4365644214346909,0.15281037620198368,0.1305276274411554,0.09703462182273502,0.06547179515144691,ER
AT3G16460,0.7967882637604133,0.8303609406546785,0.6752470742000442,0.47849365230796476,0.4819014001679746,0.45558885023392304,0.3155755578540356,0.19297999550642203,0.04022748790801986,0.0,1.0,0.6641461455107732,0.5228947648119009,0.35484982450192326,0.3913076389335873,0.26336134844721965,0.46654314992440715,0.2864046010101555,0.1771435148629723,0.14051219918573205,unknown
AT1G12840,1.0,0.5392238583533392,0.23373557822619684,0.1703696261898569,0.1115682953219472,0.09092730952247322,0.05227042679669713,0.1041599997208985,0.0382766644041731,0.04453638431838212,0.9918340905482744,0.6013649956404252,0.3041820573935856,0.2244293518686477,0.12666156075897297,0.08077974900648352,0.04853843814842036,0.002927063442576478,0.004350829285398133,0.0,unknown
AT3G16450,0.32106044404391865,0.2033990863160305,0.0,0.09069188963493367,0.18540740235464587,0.1822672898224123,0.37731707652381224,0.6846561845625995,0.6229738398390673,1.0,0.4184371184187733,0.17754535478123776,0.1155712861155106,0.040494750133457214,0.1594689688962518,0.4617987751237927,0.3187826759737868,0.47803887589166144,0.7094617720498829,0.7881736169321514,unknown
AT3G28710,0.8296660361762793,0.5325394497601226,0.36774860994412606,0.27133238535408377,0.22798661986543312,0.20322725024840702,0.08745630488053474,0.10674127759998929,0.07812502501811304,0.08465306279752655,1.0,0.5172724606140352,0.2982060327406491,0.2674130962317398,0.23036210974832996,0.1798995401453941,0.0,0.09470892300322599,0.09125677069290355,0.1103570828893859,unknown
AT5G66680,0.555638681968306,0.9501455908333646,1.0,0.8344071268421476,0.7036670055515738,0.5696128999434077,0.20242915535459852,0.08139690230645139,0.03290886966013771,0.0,0.5246153269366128,0.913202260013563,0.9102214088147829,0.9274768259143372,0.6936438478062183,0.5419433734353242,0.003885058459345748,0.23831388261551795,0.08083465193079431,0.09606959653349122,unknown
