data,method,result,Precision,Recall,F1-score,Accuracy
E14TG2aR,WithoutAttention,Cross_validation_1,0.925,0.925,0.925,0.9661016949152542
E14TG2aR,WithoutAttention,Cross_validation_2,0.865,0.8666666666666668,0.8461038961038962,0.9152542372881356
E14TG2aR,WithoutAttention,Cross_validation_3,0.9099999999999999,0.9416666666666667,0.9073809523809523,0.9482758620689655
E14TG2aR,WithoutAttention,Cross_validation_4,0.8880952380952379,0.8708333333333332,0.8642602325211021,0.8793103448275862
E14TG2aR,WithoutAttention,Cross_validation_5,0.8105555555555555,0.8385497835497837,0.8167920656634747,0.8793103448275862
E14TG2aR,WithoutAttention,Cross_validation,0.8797301587301588,0.8885432900432899,0.8719074293338851,0.9176504967855056
E14TG2aR,WithoutAttention,Test,0.8489285714285714,0.8597619047619046,0.8482832080200501,0.9078947368421053
E14TG2aR,WithAttention,Cross_validation_1,0.9800000000000001,0.95,0.9555555555555555,0.9830508474576272
E14TG2aR,WithAttention,Cross_validation_2,0.9083333333333332,0.9333333333333333,0.9080519480519481,0.9491525423728814
E14TG2aR,WithAttention,Cross_validation_3,0.9083333333333334,0.9333333333333333,0.8932900432900432,0.9482758620689655
E14TG2aR,WithAttention,Cross_validation_4,0.8375,0.8125,0.8006704889313585,0.8448275862068966
E14TG2aR,WithAttention,Cross_validation_5,0.85,0.8721212121212121,0.8493410852713179,0.9137931034482759
E14TG2aR,WithAttention,Cross_validation,0.8968333333333334,0.9002575757575757,0.8813818242200447,0.9278199883109293
E14TG2aR,WithAttention,Test,0.8958333333333333,0.8933333333333332,0.8933333333333332,0.9473684210526315
