"data","method","f1score","precision","recall","accuracy","quadloss"
"nikolovski2014","NNET",0.540515777326122,0.593622448979592,0.588161838161838,0.581818181818182,1.64879419373366
"nikolovski2014","NNET",0.568580975660495,0.605208333333333,0.576506826506826,0.545454545454545,1.79406631553177
"nikolovski2014","NNET",0.643187830687831,0.670238095238095,0.638361638361638,0.672727272727273,1.62328299843876
"nikolovski2014","NNET",0.609735195360195,0.696657509157509,0.613719613719614,0.636363636363636,1.69371095160242
"nikolovski2014","NNET",0.538378288378288,0.666071428571429,0.554882617382617,0.581818181818182,1.91224150989587
"nikolovski2014","NNET",0.690666748126426,0.732828282828283,0.696137196137196,0.690909090909091,1.68358259889218
"nikolovski2014","NNET",0.712707039337474,0.749328449328449,0.706127206127206,0.727272727272727,1.71723163022629
"nikolovski2014","NNET",0.65195652173913,0.66875,0.668518981018981,0.654545454545455,1.87546907251834
"nikolovski2014","NNET",0.64514751552795,0.735644257703081,0.633637196137196,0.690909090909091,1.68958361599251
"nikolovski2014","NNET",0.610564435564436,0.618108974358974,0.631722444222444,0.654545454545455,1.75810096118382
"nikolovski2014","NNET",0.639337474120083,0.658806818181818,0.639672827172827,0.6,1.66877427379244
"nikolovski2014","NNET",0.625341325341325,0.63919499618029,0.629974192474193,0.654545454545455,1.6764112729926
"nikolovski2014","NNET",0.735404943285378,0.748511904761905,0.749021811521812,0.727272727272727,1.66785951372506
"nikolovski2014","NNET",0.620075757575758,0.617830086580087,0.635094072594073,0.636363636363636,1.60249981614059
"nikolovski2014","NNET",0.678377226222054,0.744642857142857,0.675158175158175,0.690909090909091,1.69390341865164
"nikolovski2014","NNET",0.686320111048372,0.721955128205128,0.668664668664669,0.690909090909091,1.61769255231172
"nikolovski2014","NNET",0.623388145670754,0.628571428571429,0.666749916749917,0.672727272727273,1.7062702124191
"nikolovski2014","NNET",0.551717032967033,0.5816163003663,0.542291042291042,0.6,1.62822319590429
"nikolovski2014","NNET",0.563308358308358,0.629698773448773,0.55473692973693,0.6,1.66752080535574
"nikolovski2014","NNET",0.626419413919414,0.599742781728076,0.668123543123543,0.672727272727273,1.85155159315484
"nikolovski2014","NNET",0.82476134976135,0.843641774891775,0.8248001998002,0.818181818181818,1.75517949349138
"nikolovski2014","NNET",0.620581230363839,0.619276556776557,0.653638028638029,0.618181818181818,1.62963080570366
"nikolovski2014","NNET",0.585846520629129,0.580952380952381,0.593198468198468,0.672727272727273,1.65439410542264
"nikolovski2014","NNET",0.639416601916602,0.661796536796537,0.626998001998002,0.654545454545455,1.75988318309057
"nikolovski2014","NNET",0.613009906759907,0.618235930735931,0.617382617382617,0.654545454545455,1.54464279009302
"nikolovski2014","NNET",0.751005244755245,0.780844155844156,0.742382617382617,0.727272727272727,1.66200549456767
"nikolovski2014","NNET",0.734463865442126,0.814732142857143,0.725357975357975,0.781818181818182,1.68335612922227
"nikolovski2014","NNET",0.663956876456876,0.68525641025641,0.670558608058608,0.690909090909091,1.741818338005
"nikolovski2014","NNET",0.656215747168433,0.702083333333333,0.664169164169164,0.654545454545455,1.68351613879804
"nikolovski2014","NNET",0.592194218824654,0.627380952380952,0.574113386613387,0.636363636363636,1.79994845158489
"nikolovski2014","NNET",0.63742784992785,0.66875,0.671640859140859,0.672727272727273,1.64659140509663
"nikolovski2014","NNET",0.648268398268398,0.653634906759907,0.66743672993673,0.672727272727273,1.82078797349001
"nikolovski2014","NNET",0.699179986679987,0.697691544566545,0.708437395937396,0.690909090909091,1.72293330327723
"nikolovski2014","NNET",0.493983957219251,0.501875371360666,0.514443889443889,0.545454545454545,1.69458023849788
"nikolovski2014","NNET",0.621289127539127,0.614514652014652,0.641192141192141,0.636363636363636,1.78456233281931
"nikolovski2014","NNET",0.707051282051282,0.720009157509158,0.716658341658342,0.672727272727273,1.74266151719533
"nikolovski2014","NNET",0.578348463131072,0.66281512605042,0.597777222777223,0.618181818181818,1.8639108735152
"nikolovski2014","NNET",0.630413105413105,0.663827838827839,0.615634365634366,0.654545454545455,1.63756723063317
"nikolovski2014","NNET",0.566179653679654,0.575189393939394,0.591283716283716,0.6,1.70626403373374
"nikolovski2014","NNET",0.64049654049654,0.714880952380952,0.623355810855811,0.654545454545455,1.65313172208009
"nikolovski2014","NNET",0.711076604554865,0.724702380952381,0.715742590742591,0.709090909090909,1.6613599488601
"nikolovski2014","NNET",0.673753942136295,0.695665445665446,0.669060106560107,0.672727272727273,1.7064502647967
"nikolovski2014","NNET",0.515313852813853,0.516256313131313,0.529324841824842,0.6,1.64815008726704
"nikolovski2014","NNET",0.594058025308025,0.614423076923077,0.596403596403596,0.618181818181818,1.6276014474924
"nikolovski2014","NNET",0.619322344322344,0.6,0.650661838161838,0.636363636363636,1.73674945833697
"nikolovski2014","NNET",0.479006860585808,0.625114468864469,0.458416583416583,0.509090909090909,1.80558192548109
"nikolovski2014","NNET",0.674548368298368,0.689177489177489,0.686521811521812,0.709090909090909,1.64239522884977
"nikolovski2014","NNET",0.580848861283644,0.579464285714286,0.59544622044622,0.545454545454545,1.81550786462713
"nikolovski2014","NNET",0.680065496098105,0.709157509157509,0.686376123876124,0.672727272727273,1.71960706711473
"nikolovski2014","NNET",0.561645299145299,0.579108309990663,0.575341325341325,0.618181818181818,1.85701501426731
"nikolovski2014","NNET",0.683425091483562,0.705357142857143,0.67973692973693,0.636363636363636,1.67653754257755
"nikolovski2014","NNET",0.584603041885651,0.5875,0.613719613719614,0.618181818181818,1.90633492421478
