Majority protein IDs,R1_C2_03,R1_C2_06,R1_C2_12,R1_C2_24,R1_C2_80,R1_C6_03,R1_C6_06,R1_C6_12,R1_C6_24,R1_C6_80,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,markers
Q9Y6M0;Q9Y6M0-2,0.025513889,0.016047171,0.030477892,0.079195345,0.172074094,0.026072511,0.015834292,0.02603519,0.07226258,0.187498153,0.025237414,0.01668163,0.026104756,0.080709089,0.200255993,unknown
O95084;O95084-2,0.119742946,0.069769123,0.050744898,0.046713549,0.061960531,0.081663827,0.07098415,0.049453201,0.053599919,0.060936082,0.070527785,0.084701395,0.055991273,0.05574301,0.067468312,unknown
P0CW18,0.062493856,0.035014976,0.059904256,0.085994383,0.104971509,0.05210559,0.035319233,0.054041879,0.076424933,0.091594191,0.047302199,0.039665306,0.059149526,0.086429923,0.10958824,unknown
Q9Y617;Q9Y617-2,0.096209913,0.078589924,0.032171395,0.046408585,0.100883386,0.079759286,0.070181649,0.035711303,0.039790151,0.080693981,0.078711235,0.086805293,0.037521031,0.043083458,0.093479411,unknown
P28070,0.10680545,0.088226136,0.054562823,0.058215867,0.027144508,0.090035588,0.086826372,0.052797071,0.058982665,0.022882395,0.102169157,0.108526137,0.057522813,0.060173489,0.025129529,unknown
Q99436,0.102428544,0.099882805,0.05275669,0.058251188,0.025486685,0.09798815,0.082941598,0.05308093,0.061750114,0.01731558,0.087668468,0.120958396,0.061481867,0.056674914,0.021334071,unknown
P17980,0.09544391,0.096304653,0.059299276,0.063543199,0.025648826,0.086442247,0.085864038,0.06348275,0.059188891,0.019324665,0.087020456,0.109748013,0.062797441,0.062270482,0.023621152,unknown
P51665,0.100478248,0.090051314,0.051994429,0.057191364,0.024539496,0.088740108,0.094771654,0.063131695,0.063114592,0.017522266,0.094726046,0.108009128,0.060600498,0.064608226,0.020520936,unknown
Q06323;Q06323-2;Q06323-3,0.086853477,0.102155299,0.050965222,0.060522067,0.051933908,0.074847744,0.083209983,0.055125561,0.056000469,0.0417025,0.070542475,0.100708132,0.057777991,0.06100268,0.046652493,unknown
Q9UL46,0.075453099,0.097149071,0.052725802,0.058443135,0.051786693,0.077187166,0.082781545,0.052289106,0.058244925,0.03772337,0.079921819,0.105333951,0.063764048,0.062321466,0.044874805,unknown
P61289;P61289-3;P61289-2,0.06893953,0.086999861,0.045262451,0.049740208,0.077468454,0.064197289,0.074918877,0.050136935,0.051702514,0.069742938,0.062756842,0.091043919,0.056429114,0.059728064,0.090933006,unknown
P26599;P26599-2;P26599-3,0.138412736,0.105696163,0.037820501,0.025104816,0.024780814,0.132840918,0.099966171,0.03547697,0.024543042,0.025291054,0.132708256,0.120528833,0.039812477,0.028065737,0.028951513,unknown
O95758-5;O95758;O95758-2;O95758-1;O95758-6;O95758-4;O95758-7,0.15896755,0.102725329,0.036155491,0.02436037,0.025035401,0.138472371,0.093943165,0.035235702,0.024207592,0.024536013,0.135806543,0.10857664,0.037372522,0.026026903,0.028578407,unknown
O75127,0.004191159,0.008075135,0.107124682,0.118597376,0.134782831,0.003767223,0.008505254,0.081662978,0.102572922,0.112871691,0.002977889,0.008624566,0.111773468,0.120623223,0.073849604,unknown
Q96EY7,0.006297884,0.011606501,0.109549696,0.185439479,0.156039228,0.005652643,0.011488655,0.115257887,0.094461352,0.040611016,0.004433975,0.011629365,0.110353753,0.131500145,0.005678422,unknown
Q9H7Z7,0.009298543,0.020135103,0.087218422,0.096795812,0.079906243,0.007917279,0.018785592,0.124691664,0.125266352,0.103231424,0.008291609,0.019498921,0.108323116,0.098777032,0.091862886,unknown
