Majority protein IDs,R1_C2_03,R1_C2_06,R1_C2_12,R1_C2_24,R1_C2_80,R1_C6_03,R1_C6_06,R1_C6_12,R1_C6_24,R1_C6_80,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,markers
Q92887,0.043199419,0.035763934,0.040021235,0.062315205,0.128565822,0.052678604,0.038276084,0.041278395,0.075847593,0.127626751,0.039185842,0.046689722,0.042398223,0.074468842,0.151684329,Plasma membrane
Q13443;Q13443-2,0.062716359,0.046912269,0.053224274,0.072961741,0.108720317,0.063544195,0.04314314,0.045118074,0.066616095,0.092889182,0.057867414,0.055451187,0.047425462,0.069742744,0.113667546,Plasma membrane
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,0.056459792,0.036672397,0.046883702,0.073342542,0.131435422,0.053404228,0.031707247,0.037735594,0.063656642,0.119350572,0.050255184,0.039622092,0.043462101,0.074480073,0.141532411,Plasma membrane
O95782;O95782-2,0.025418533,0.036402216,0.050631635,0.083537802,0.121755594,0.024478357,0.038859999,0.049641488,0.091949417,0.127048712,0.020779652,0.053227298,0.066238004,0.096377314,0.113653977,Plasma membrane
O94973;O94973-2;O94973-3,0.026985125,0.038113177,0.048842477,0.088048428,0.121866467,0.023681647,0.039167024,0.050171654,0.095529791,0.124776414,0.021954667,0.053048371,0.067223085,0.095634226,0.104957447,Plasma membrane
Q96CW1;Q96CW1-2,0.026272502,0.038123517,0.052553694,0.090623137,0.12115594,0.026180285,0.039219009,0.049932045,0.087277274,0.125172906,0.022262778,0.051264596,0.066941385,0.090845229,0.112175704,Plasma membrane
P05023;P05023-4;P05023-3;P05023-2,0.019487679,0.020803319,0.032669404,0.078919402,0.194832473,0.019409171,0.017951394,0.027057041,0.068678557,0.18158427,0.017503456,0.023736601,0.031380672,0.069894163,0.196092397,Plasma membrane
P05026;P05026-2,0.021644863,0.020422874,0.030978053,0.07989737,0.206079776,0.021144319,0.016780773,0.024747257,0.076718486,0.168493071,0.021180727,0.02286165,0.029884566,0.071303064,0.187863151,Plasma membrane
P54709,0.020136541,0.020602776,0.032184979,0.080812046,0.190965255,0.019266465,0.017355746,0.029056154,0.076086984,0.176981328,0.020324352,0.023071598,0.031139007,0.073638229,0.188378542,Plasma membrane
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,0.015620643,0.019951894,0.035015715,0.076827224,0.204113079,0.016202814,0.017996323,0.0279764,0.065995537,0.187123593,0.015206516,0.02277474,0.031352936,0.072287201,0.191555385,Plasma membrane
P80723;P80723-2,0.044822267,0.042317916,0.054272625,0.086138208,0.122592763,0.04437623,0.038787038,0.048561255,0.079000458,0.107364393,0.047432427,0.043751896,0.048786904,0.076761507,0.115034113,Plasma membrane
P35613;P35613-2;P35613-4;P35613-3,0.020191484,0.023509299,0.036967145,0.080953197,0.185371236,0.020042619,0.021336603,0.031033743,0.069367285,0.169750462,0.022190391,0.025107751,0.03238431,0.07099066,0.190803816,Plasma membrane
Q6YHK3;Q6YHK3-4;Q6YHK3-2,0.025216621,0.027469406,0.038841827,0.07461375,0.186964753,0.025268266,0.02362722,0.030217828,0.065850027,0.168036073,0.028321357,0.029886736,0.034773843,0.066258387,0.174653905,Plasma membrane
P16070;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8,0.016958767,0.023561481,0.033445477,0.067757812,0.188369576,0.016716351,0.020656141,0.030522496,0.068931871,0.19734839,0.021464599,0.02677159,0.031033485,0.065716895,0.190745068,Plasma membrane
P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7,0.028280896,0.033080511,0.043028077,0.077380382,0.174873708,0.026281022,0.025694888,0.032790503,0.062688266,0.157436507,0.031585602,0.032636729,0.035326749,0.064719547,0.174196614,Plasma membrane
P13987,0.033493559,0.039029265,0.045807741,0.077498885,0.152473392,0.033018558,0.034373357,0.039661604,0.070443573,0.133946354,0.037639115,0.043515387,0.041863339,0.071608671,0.145627201,Plasma membrane
P21926,0.028211114,0.033267654,0.040522429,0.078079678,0.172614058,0.026851218,0.027703665,0.03584124,0.067635709,0.150058846,0.033395051,0.036282426,0.037939866,0.069439783,0.162157263,Plasma membrane
P48960;P48960-3;P48960-2,0.043927189,0.042294892,0.045717214,0.074564744,0.147574653,0.046668639,0.04015124,0.041416438,0.065729687,0.110191245,0.04906432,0.052127964,0.043601628,0.067234004,0.129736144,Plasma membrane
P98082;P98082-3;P98082-2,0.01965931,0.02985358,0.041616604,0.07971432,0.156798564,0.019742535,0.02877125,0.039828475,0.075609624,0.166013928,0.018123281,0.037372122,0.048072611,0.082154513,0.156669282,Plasma membrane
Q14118,0.021379835,0.022581138,0.034885512,0.077532266,0.206295005,0.021565589,0.021636685,0.028494598,0.073430344,0.108904832,0.024313912,0.027745657,0.035038855,0.072234966,0.223960806,Plasma membrane
Q16832,0.050390168,0.036583808,0.040859124,0.074405415,0.126713843,0.061875493,0.03420514,0.037657877,0.074510202,0.130663008,0.048925113,0.043401521,0.04219385,0.068203326,0.129412111,Plasma membrane
Q14126,0.021033359,0.023553281,0.037265394,0.085957549,0.167216511,0.02075676,0.023262313,0.034506232,0.074760688,0.162068901,0.02123057,0.028932587,0.039812258,0.086963363,0.172680235,Plasma membrane
P00533;P00533-4;P00533-3,0.026922212,0.028633933,0.038466024,0.074209944,0.184048357,0.027416211,0.025944029,0.033682707,0.068743744,0.160710983,0.027523022,0.031938392,0.03563004,0.06546481,0.170665592,Plasma membrane
Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4,0.017920144,0.025066454,0.035204413,0.071562257,0.164722415,0.016366813,0.023874026,0.033971664,0.076727906,0.138966877,0.015527023,0.030256891,0.04648093,0.082706576,0.22064561,Plasma membrane
Q9Y4F1;Q9Y4F1-2,0.020554149,0.028631514,0.044390924,0.089048671,0.311631728,0.021914596,0.025150878,0.036779446,0.086935151,0.116538463,0.020846601,0.032663701,0.04115745,0.084948022,0.038808705,Plasma membrane
O95466-2;O95466;O95466-3,0.04936502,0.052456475,0.064197137,0.078504366,0.107790411,0.041497088,0.05309778,0.063769152,0.089136708,0.076418274,0.037890839,0.055710779,0.067121031,0.083167792,0.079877149,Plasma membrane
P06241;P06241-3,0.025680249,0.030015226,0.039469002,0.079219696,0.165302515,0.027319148,0.025996528,0.033515961,0.067464461,0.170648834,0.025375222,0.03299008,0.037268802,0.075294339,0.164439937,Plasma membrane
P63092;Q5JWF2;P63092-4,0.023224417,0.026574935,0.038122142,0.078198753,0.190230696,0.022603996,0.023271219,0.031376704,0.071654522,0.155257465,0.022500392,0.029969855,0.033933994,0.065274298,0.187806611,Plasma membrane
Q8IZP9;Q8IZP9-8;Q8IZP9-7;Q8IZP9-5;Q8IZP9-6;Q8IZP9-3;Q8IZP9-4;Q8IZP9-2;Q8IZP9-10;Q8IZP9-9,0.047060708,0.043701968,0.046522723,0.067721809,0.124994079,0.056217729,0.036541242,0.041639128,0.072453143,0.108538734,0.058964046,0.046882507,0.047029128,0.071844104,0.129888952,Plasma membrane
P05362,0.018064874,0.023472027,0.034246291,0.061151549,0.167129374,0.017284203,0.020832221,0.027971265,0.062287555,0.247913367,0.021869754,0.027532582,0.030648443,0.063702372,0.175894123,Plasma membrane
P46940,0.03193378,0.042792074,0.04615922,0.069014171,0.127343338,0.03381256,0.041671518,0.047295529,0.07203474,0.123069336,0.035773533,0.053600367,0.051409256,0.078349852,0.145740724,Plasma membrane
P26006;P26006-1,0.031163965,0.028338179,0.035164606,0.086011228,0.162026329,0.032685289,0.01998057,0.031230046,0.077073859,0.173128674,0.039652275,0.028328321,0.035747287,0.082787495,0.136681877,Plasma membrane
P06756;P06756-3;P06756-2,0.026058564,0.03010019,0.040310158,0.075582529,0.16062368,0.025307219,0.028292952,0.038120174,0.075947984,0.140562912,0.023074009,0.035273157,0.045120027,0.08142589,0.174200556,Plasma membrane
P18084,0.029287207,0.026279098,0.038548861,0.07597086,0.15866304,0.024535178,0.024890991,0.033810239,0.07789486,0.137625848,0.023748548,0.030118404,0.042527304,0.084550961,0.1915486,Plasma membrane
P32004;P32004-2;P32004-3,0.022132654,0.025058497,0.035185082,0.074532259,0.190589988,0.023272368,0.023107935,0.032587398,0.068994587,0.165826056,0.026255497,0.029153404,0.034540435,0.067530605,0.181233232,Plasma membrane
Q9NUP9,0.018153649,0.029545033,0.044184948,0.089077101,0.175383034,0.020424008,0.024257521,0.033889348,0.078361406,0.159174968,0.022244292,0.033699479,0.045391809,0.06696541,0.159247995,Plasma membrane
P43121;P43121-2,0.021265942,0.024027029,0.033894002,0.077758409,0.192863017,0.020733337,0.021504708,0.030979783,0.066941746,0.179470638,0.022450033,0.026639349,0.030458931,0.064564162,0.186448914,Plasma membrane
P08581;P08581-2,0.029080926,0.028699428,0.04184064,0.086240658,0.176304753,0.026212293,0.025591671,0.034559213,0.072218577,0.141606544,0.026004433,0.034219117,0.039190006,0.075822324,0.162409415,Plasma membrane
P17342;P17342-2,0.049792254,0.045628485,0.056120262,0.073233453,0.135332824,0.058353573,0.042284718,0.042374452,0.064750062,0.105614388,0.046076564,0.052408705,0.045959084,0.074107178,0.107963998,Plasma membrane
Q9Y639;Q9Y639-4;Q9Y639-5;Q9Y639-3;Q9Y639-1,0.025348465,0.02479351,0.040202776,0.093083562,0.144428599,0.02526934,0.021655119,0.039087831,0.092734692,0.07212978,0.024610443,0.025425792,0.040882533,0.090404096,0.239943461,Plasma membrane
O15031,0.025318297,0.022097293,0.033760913,0.071489786,0.181533952,0.025038763,0.020933514,0.02842784,0.071181945,0.187510306,0.023729202,0.026298433,0.032016129,0.064812829,0.185850797,Plasma membrane
Q12913,0.049260893,0.036691567,0.042704342,0.093115299,0.067106824,0.055563071,0.034126288,0.03735121,0.073692476,0.169712576,0.045524532,0.03524725,0.047228071,0.065700232,0.14697537,Plasma membrane
P15151;P15151-3;P15151-2;P15151-4,0.034764919,0.035893311,0.054601015,0.079374369,0.168204401,0.033832895,0.028103876,0.045435551,0.046602152,0.052922695,0.038221678,0.042113735,0.041952674,0.073096389,0.224880341,Plasma membrane
Q01974,0.027275735,0.028314699,0.042805324,0.078380265,0.169659825,0.027050189,0.025392285,0.034731261,0.070129074,0.172754526,0.025276082,0.031102351,0.033089093,0.067700117,0.166339174,Plasma membrane
P53985;P53985-2,0.032080323,0.042921914,0.06158043,0.131767586,0.086932132,0.032302548,0.035193279,0.053453591,0.125959698,0.074109132,0.033060517,0.043073268,0.055274637,0.123629335,0.068661609,Plasma membrane
O15427,0.024531466,0.028916143,0.041022039,0.084582663,0.206549137,0.025942608,0.026379604,0.035144871,0.084006269,0.138305796,0.025962638,0.032091621,0.037542831,0.072866752,0.136155562,Plasma membrane
Q15758;Q15758-3;Q15758-2,0.019109214,0.021914135,0.029665746,0.071617709,0.191952465,0.019402126,0.018701816,0.025205457,0.066747008,0.190851117,0.020702653,0.024147627,0.027601975,0.066248222,0.206132731,Plasma membrane
P11166,0.030172504,0.031893713,0.03908162,0.088369996,0.168163615,0.03463505,0.027080171,0.037786263,0.079884906,0.148993428,0.034506792,0.034168575,0.036070988,0.076142155,0.133050223,Plasma membrane
Q9Y6M5,0.019160716,0.022942461,0.036035163,0.077771752,0.197191454,0.020855948,0.019998044,0.029917765,0.068160687,0.171394165,0.020024952,0.026217378,0.032527568,0.06751805,0.190283897,Plasma membrane
P08195;P08195-4,0.017905281,0.022987857,0.036489222,0.0789953,0.19138159,0.017176266,0.020265197,0.030612523,0.068995002,0.177227865,0.017941202,0.025568755,0.032999701,0.072548668,0.18890557,Plasma membrane
P30825,0.063453051,0.046475937,0.048875487,0.087186221,0.091177288,0.057175363,0.045376816,0.043266951,0.073256065,0.096494034,0.065987975,0.050046855,0.049146936,0.078053762,0.10402726,Plasma membrane
Q01650,0.017706047,0.02449511,0.033651955,0.081613366,0.189035761,0.017537645,0.020030699,0.02886406,0.078140659,0.177082673,0.017824976,0.025097363,0.032909843,0.080566796,0.175443048,Plasma membrane
O00161;O00161-2,0.019221923,0.020977173,0.031587129,0.060761037,0.357196268,0.018422332,0.016747806,0.02256616,0.053510046,0.162376875,0.018114165,0.023085908,0.028045756,0.057322481,0.110064942,Plasma membrane
O00186,0.04207643,0.046234879,0.06113449,0.078299352,0.09984006,0.042878927,0.040125468,0.051233715,0.07794531,0.10869734,0.036104908,0.051039923,0.060404665,0.077268281,0.126716253,Plasma membrane
P33897,0.028445623,0.014136588,0.024059467,0.073660956,0.19603288,0.026890574,0.01244012,0.022927573,0.058335633,0.231033162,0.021909638,0.014639652,0.024969485,0.084881037,0.16563761,Peroxisome
P28288;P28288-2,0.023853655,0.011260668,0.020204455,0.060330091,0.220644084,0.021778245,0.010999408,0.018340054,0.057719708,0.191969892,0.019190986,0.011475013,0.021195689,0.075325342,0.23571271,Peroxisome
P09110;P09110-2,0.033952516,0.017673512,0.028638995,0.076004611,0.128416938,0.027951598,0.016353921,0.025868051,0.073116363,0.110315282,0.024956561,0.01763901,0.028808215,0.102642861,0.287661564,Peroxisome
Q15067,0.021464115,0.010810544,0.019594593,0.057193227,0.224883967,0.019785084,0.010952111,0.01882076,0.056158535,0.215036706,0.018561567,0.011041216,0.020583691,0.073873196,0.221240688,Peroxisome
O00116,0.022880167,0.011561481,0.019475419,0.057943252,0.214522858,0.020583094,0.011069636,0.01796754,0.058161035,0.209358594,0.018851394,0.011627679,0.020180734,0.072961663,0.232855454,Peroxisome
P04040,0.022607595,0.010941644,0.019688153,0.058576355,0.209038229,0.021454084,0.010824663,0.018210191,0.057871205,0.215763647,0.019799428,0.011473564,0.019978365,0.068097917,0.235674961,Peroxisome
Q8WVX9,0.030848128,0.014733977,0.025329301,0.067252769,0.18605361,0.026663773,0.014061797,0.022878717,0.061503824,0.100100065,0.025289746,0.016622763,0.029490405,0.105087295,0.27408383,Peroxisome
O15228;O15228-2,0.034739554,0.018089968,0.033226493,0.100499821,0.184693634,0.033140599,0.016003466,0.029241275,0.083216634,0.076807597,0.030292524,0.019656235,0.032264616,0.128344184,0.1797834,Peroxisome
Q9UJ83;Q9UJ83-2;Q9UJ83-3;Q9UJ83-4,0.027522188,0.013418099,0.023746146,0.06741181,0.230722855,0.024952177,0.013308671,0.021341309,0.063370198,0.155387835,0.023101191,0.014663875,0.025535965,0.093431942,0.20208574,Peroxisome
P51659;P51659-3;P51659-2,0.024666865,0.012221156,0.020725453,0.055216368,0.202354591,0.022651768,0.012248943,0.019669786,0.0603761,0.210887126,0.020214676,0.012672746,0.021868998,0.071653414,0.232572009,Peroxisome
O75381;O75381-2,0.022519954,0.011827083,0.018103445,0.05340801,0.188122797,0.020529641,0.010095205,0.017193861,0.058152672,0.176039571,0.021272666,0.010591828,0.019261342,0.070113652,0.302768273,Peroxisome
Q8WUM0,0.021556895,0.018386957,0.025769412,0.075543739,0.199058566,0.025037116,0.018910668,0.029969823,0.070365435,0.143709174,0.01956029,0.01907463,0.033884856,0.079608206,0.219564234,Nuclear pore complex
O75694;O75694-2,0.045454783,0.033545479,0.048169758,0.079526996,0.117130129,0.044564503,0.03263255,0.049605356,0.075810239,0.115916375,0.033582066,0.036808676,0.056343721,0.08856917,0.142340198,Nuclear pore complex
Q12769,0.038575039,0.032338236,0.044447519,0.0817564,0.141822327,0.040433619,0.027127348,0.045897422,0.075858577,0.098214338,0.029886706,0.032755889,0.052301075,0.089005918,0.169579586,Nuclear pore complex
Q92621,0.024734125,0.017002318,0.028973918,0.059653615,0.141383738,0.025126344,0.017539227,0.027174058,0.06697244,0.193231904,0.017732254,0.018457,0.033904716,0.081720391,0.246393954,Nuclear pore complex
Q8TEM1,0.030040291,0.018846261,0.032328276,0.099370148,0.188481823,0.029447964,0.018135148,0.031364543,0.10262955,0.248572651,0.026232105,0.019175083,0.035104211,0.100439539,0.019832407,Nuclear pore complex
P35658;P35658-3;P35658-2;P35658-4;P35658-5,0.035998571,0.02498795,0.040338798,0.080159374,0.148312498,0.035083198,0.023944626,0.03783849,0.072042085,0.136145737,0.028812707,0.02502097,0.045306396,0.098829138,0.167179462,Nuclear pore complex
P37198,0.034434605,0.023545867,0.037657584,0.068228883,0.136153497,0.030783833,0.021750227,0.039707539,0.072275204,0.176089918,0.026497729,0.023940054,0.040301998,0.087420527,0.181212534,Nuclear pore complex
Q99567,0.036813058,0.027926364,0.036809272,0.081288719,0.103844879,0.03653611,0.029298125,0.044654163,0.080910079,0.165828338,0.029954255,0.026815325,0.048672081,0.085762087,0.164887146,Nuclear pore complex
Q8N1F7;Q8N1F7-2,0.034308537,0.024840438,0.040417403,0.083754804,0.146056957,0.034965251,0.026258083,0.038715658,0.076878344,0.116619047,0.025777444,0.024935138,0.045218552,0.094609617,0.186644725,Nuclear pore complex
P52948;P52948-5;P52948-6;P52948-2,0.037132052,0.026395155,0.041254488,0.070309326,0.108413793,0.036644144,0.026769834,0.043130796,0.067403259,0.110425685,0.032703945,0.028491605,0.046884871,0.093820283,0.230220764,Nuclear pore complex
P49792,0.037106492,0.023352049,0.038280667,0.07671704,0.138846228,0.034880664,0.022724972,0.034408016,0.076389462,0.149243635,0.02754845,0.022985758,0.042870161,0.096073915,0.178572492,Nuclear pore complex
Q5JTZ9,0.006333382,0.01113042,0.063731061,0.094218386,0.107648698,0.005487506,0.01150901,0.078277281,0.184079273,0.074280634,0.004268498,0.011460947,0.098956444,0.123154659,0.125463799,Mitochondrion
P11310;P11310-2,0.003831453,0.006962043,0.075393023,0.144051349,0.137922906,0.00351477,0.007625063,0.091242248,0.154641975,0.020147608,0.002878862,0.006769623,0.118558534,0.108052632,0.118407912,Mitochondrion
P45954;P45954-2,0.00277967,0.005068595,0.067860426,0.19108304,0.045619213,0.002553661,0.004892553,0.077185936,0.066781442,0.087230769,0.002101515,0.005282208,0.009132192,0.373360794,0.059067986,Mitochondrion
P24752,0.003629514,0.006831814,0.080263475,0.119925347,0.128164099,0.003191573,0.006488704,0.072154311,0.121616007,0.124593973,0.002579245,0.006672532,0.07989359,0.118663788,0.125332028,Mitochondrion
Q9NPJ3;Q9NPJ3-2,0.010677898,0.018185774,0.095604166,0.094775188,0.106060067,0.008884354,0.017522122,0.089780241,0.111324314,0.111977662,0.008041794,0.018079224,0.092391289,0.097627436,0.119068472,Mitochondrion
P54819;P54819-2;P54819-6;P54819-3;P54819-5;P54819-4,0.004201014,0.010640875,0.064631635,0.094920432,0.131345038,0.004069623,0.011114362,0.093432453,0.104613353,0.163888263,0.003256288,0.010396482,0.066376501,0.09619083,0.14092285,Mitochondrion
P27144,0.004706891,0.008734315,0.118005223,0.071381793,0.17132457,0.004164512,0.008608824,0.108125529,0.062951044,0.101263131,0.003752447,0.008842699,0.097636176,0.119072987,0.111429859,Mitochondrion
P51649;P51649-2,0.004579686,0.00879438,0.085776516,0.089787075,0.119469567,0.004033228,0.00896142,0.1175118,0.143764192,0.110548562,0.003467079,0.008787396,0.103530369,0.136116308,0.054872423,Mitochondrion
P49419-2;P49419;P49419-4,0.008298759,0.014211921,0.078914918,0.07903821,0.139075315,0.007402569,0.014741672,0.081423201,0.106504013,0.143606798,0.005735096,0.014481142,0.076202495,0.10255665,0.127807241,Mitochondrion
Q8NCW5;Q8NCW5-2,0.012953563,0.020163476,0.057241285,0.079053734,0.15560015,0.012672634,0.021582765,0.062018001,0.0878446,0.147602354,0.009944781,0.01929476,0.057375497,0.078413179,0.178239222,Mitochondrion
P25705;P25705-2;P25705-3,0.003552871,0.007001604,0.074379091,0.114489483,0.125289549,0.003215434,0.007042258,0.071774782,0.117694381,0.13372765,0.002762358,0.006895623,0.077802624,0.118256335,0.136115957,Mitochondrion
P06576,0.003540612,0.007086705,0.074785939,0.11660735,0.128408534,0.003236334,0.006710061,0.070661519,0.11562249,0.130463893,0.00329474,0.006870636,0.076930363,0.120349815,0.13543101,Mitochondrion
P36542;P36542-2,0.003311556,0.00680357,0.073618742,0.120164495,0.122805563,0.003043606,0.006585335,0.06745516,0.122421259,0.135994548,0.002829213,0.006608638,0.07180679,0.127507154,0.12904437,Mitochondrion
P24539,0.003573239,0.007142985,0.077937841,0.126716974,0.13033437,0.003233204,0.006701414,0.070067718,0.114916778,0.128197196,0.00303221,0.0067874,0.076115838,0.118434384,0.126808449,Mitochondrion
O75947;O75947-2,0.004672307,0.009135952,0.089188869,0.057294776,0.152196753,0.004221697,0.008960576,0.087103339,0.141905519,0.145517819,0.003751553,0.008779197,0.084457957,0.056280932,0.146532755,Mitochondrion
P56385,0.00353305,0.007346175,0.071187938,0.102448618,0.132040367,0.00323171,0.00705263,0.068093215,0.120154531,0.124415811,0.003251111,0.006701646,0.083675266,0.108649923,0.158218009,Mitochondrion
O75964,0.004527139,0.009052272,0.09125699,0.100138001,0.161033046,0.003951131,0.008277111,0.087229579,0.145523499,0.162881936,0.003967401,0.008372091,0.093136518,0.077043779,0.043609507,Mitochondrion
P48047,0.003155221,0.006675163,0.079988452,0.115407271,0.130562825,0.003059042,0.006714266,0.066987222,0.119649531,0.122993144,0.002843852,0.006452283,0.075673329,0.120928686,0.138909713,Mitochondrion
P12694;P12694-2,0.004828212,0.009272008,0.075098111,0.10613325,0.116107146,0.004303924,0.009361153,0.121605384,0.190724449,0.121570877,0.003651957,0.009292022,0.119005799,0.072003915,0.037041791,Mitochondrion
P21953,0.004170813,0.006651478,0.08757063,0.139886559,0.091051445,0.004047873,0.007394538,0.063261907,0.083866541,0.127555167,0.002895728,0.006644098,0.092701236,0.082365288,0.199936699,Mitochondrion
Q9HA77,0.004756616,0.009032834,0.119460095,0.139778995,0.113116621,0.004686875,0.009492211,0.107124327,0.059678113,0.162395395,0.003663511,0.008942319,0.125496905,0.010961349,0.121413835,Mitochondrion
Q9NX63,0.003633485,0.007516042,0.078481078,0.131543834,0.156965768,0.00318754,0.00703578,0.077424465,0.128789415,0.146643469,0.002820345,0.00693942,0.084480293,0.048808307,0.115730759,Mitochondrion
Q9NZ45,0.0043985,0.008594011,0.068125092,0.111570363,0.135818794,0.003924562,0.007498695,0.062612563,0.114200067,0.133789884,0.003603285,0.007703949,0.065321059,0.12635383,0.146485346,Mitochondrion
O76031,0.003478564,0.006439717,0.085628602,0.112371518,0.129505507,0.003070308,0.006606261,0.071855255,0.113554028,0.130977443,0.002648657,0.006726497,0.076511698,0.128753001,0.121872944,Mitochondrion
P13073,0.003487563,0.006750017,0.072348018,0.124919421,0.130981384,0.00310854,0.00665913,0.063816558,0.127885913,0.132941848,0.003213528,0.006515535,0.066708243,0.116939987,0.133724314,Mitochondrion
P20674,0.003442197,0.006624432,0.064858464,0.104345261,0.314142176,0.002945139,0.006203593,0.042400302,0.121613205,0.140848072,0.002938091,0.006035831,0.057648871,0.011004114,0.114950253,Mitochondrion
P09669,0.002171943,0.00465758,0.045070906,0.07599861,0.089961787,0.001928404,0.004060629,0.043211024,0.094816832,0.394636948,0.001794116,0.004362227,0.057495433,0.080870533,0.098963029,Mitochondrion
P31327;P31327-3;P31327-2,0.003767774,0.006788948,0.077688725,0.118476855,0.124424506,0.003215685,0.006644569,0.073527166,0.117039356,0.127326457,0.002598279,0.00676469,0.081935635,0.121594431,0.128206925,Mitochondrion
P50416;P50416-2,0.006501792,0.010101075,0.051325323,0.102134677,0.166418168,0.005723382,0.009654525,0.049760168,0.1069365,0.166949947,0.004575458,0.010307032,0.048578755,0.105724906,0.155308293,Mitochondrion
O75390,0.003820049,0.007070455,0.082007386,0.123903989,0.126322747,0.003390499,0.006877837,0.074381235,0.111421783,0.11465268,0.002780601,0.006811983,0.082544986,0.125201644,0.128812127,Mitochondrion
P99999,0.012610551,0.028109055,0.083811961,0.105998487,0.064115854,0.011190389,0.023917057,0.112152937,0.118727645,0.106782969,0.010786008,0.027177327,0.111735791,0.094651512,0.088232456,Mitochondrion
P51398;P51398-2;P51398-3,0.00400418,0.007258487,0.090411532,0.10921413,0.115628191,0.003359733,0.006937599,0.080853107,0.127442596,0.114070754,0.002853335,0.007058877,0.084684955,0.125120264,0.12110226,Mitochondrion
Q6PI48,0.005883155,0.010729064,0.111643711,0.124031229,0.128198396,0.005059492,0.010463104,0.087130564,0.104375932,0.099847819,0.004204347,0.010935998,0.088213403,0.11001131,0.099272476,Mitochondrion
P11182,0.003623426,0.007336365,0.092488855,0.114728649,0.113034404,0.003356959,0.007110183,0.07992226,0.128988548,0.107245732,0.00279174,0.007253723,0.094717729,0.12355755,0.113843877,Mitochondrion
P10515,0.004649023,0.008139862,0.090806597,0.140782099,0.097421427,0.004244141,0.007983331,0.090485176,0.121957583,0.076768029,0.003410162,0.008148219,0.104143397,0.156156704,0.084904248,Mitochondrion
P09622;P09622-2;P09622-3,0.003973338,0.007236988,0.077501524,0.12943074,0.113720088,0.003594956,0.007141808,0.079181873,0.128991739,0.107966365,0.00294953,0.007123594,0.085748216,0.127562648,0.117876592,Mitochondrion
P36957;P36957-2,0.003999928,0.007469631,0.095874332,0.168546952,0.113123114,0.003549972,0.007414246,0.031396191,0.139837714,0.097805065,0.003079489,0.007302023,0.080044068,0.136807025,0.10375025,Mitochondrion
Q96EY1-2;Q96EY1-3,0.005588577,0.010489022,0.078886642,0.130570907,0.132236255,0.0050966,0.009941873,0.09642746,0.043182091,0.118010878,0.004780693,0.009843605,0.101982857,0.101047211,0.151915328,Mitochondrion
P23919;P23919-2,0.015051994,0.025284795,0.065794859,0.075923618,0.167323429,0.014712711,0.024246291,0.073043348,0.080754669,0.138857332,0.01095918,0.026343571,0.071685452,0.073020398,0.136998353,Mitochondrion
P30084,0.00350725,0.006241571,0.076942937,0.116246939,0.123568051,0.003215134,0.006347744,0.07493935,0.120563479,0.122855376,0.002635276,0.006424923,0.082621658,0.124499387,0.129390926,Mitochondrion
P42126;P42126-2,0.003390731,0.005766493,0.077286905,0.118178572,0.126261676,0.002782453,0.005617266,0.070649433,0.117867684,0.123586398,0.002528015,0.005939527,0.082540922,0.119307589,0.138296337,Mitochondrion
Q9BQ52;Q9BQ52-4;Q9BQ52-3;Q9BQ52-2,0.013637624,0.0233795,0.074966671,0.096989521,0.128866101,0.012075126,0.025145339,0.090450655,0.085584887,0.106815052,0.010079942,0.025506903,0.08874936,0.093931575,0.123821743,Mitochondrion
P13804;P13804-2,0.003877998,0.006967297,0.074181004,0.107438247,0.112253458,0.003597664,0.006912319,0.079348592,0.130342786,0.129125146,0.002891433,0.00702412,0.069090901,0.130001478,0.136947558,Mitochondrion
P38117;P38117-2,0.003413914,0.006576122,0.07729832,0.119691212,0.121550205,0.003156622,0.006562158,0.073906749,0.123129912,0.13286126,0.002664818,0.006437876,0.072467556,0.120040318,0.13024296,Mitochondrion
P07954-2;P07954,0.005109751,0.008936386,0.074157822,0.106878869,0.133183748,0.00449273,0.008879662,0.068586629,0.103477782,0.139656405,0.003912662,0.008920852,0.077893134,0.110066947,0.145846619,Mitochondrion
P00505;P00505-2,0.003280557,0.005974235,0.075958788,0.115995812,0.127283856,0.003035625,0.006212226,0.078688247,0.116921332,0.124350287,0.002427425,0.006304117,0.084057092,0.122433137,0.127077267,Mitochondrion
Q9HAV7,0.003045933,0.005630068,0.069012468,0.128919759,0.123070999,0.002822227,0.005497181,0.068147142,0.114388677,0.136802871,0.002491136,0.005622439,0.075801389,0.140377518,0.118370194,Mitochondrion
P00390;P00390-2;P00390-3;P00390-4;P00390-5,0.017407991,0.025666993,0.064095348,0.079204815,0.159007018,0.016373736,0.028948974,0.072186512,0.086495396,0.153898734,0.013517649,0.029026187,0.06701727,0.073511334,0.113642044,Mitochondrion
