true_label,pred_label,pred_prob
RIBOSOME,RIBOSOME,0.9677550196647644
RIBOSOME,RIBOSOME,0.9673438370227814
RIBOSOME,RIBOSOME,0.9572325199842453
RIBOSOME,RIBOSOME,0.9495095908641815
RIBOSOME,RIBOSOME,0.9713952541351318
RIBOSOME,RIBOSOME,0.9630018025636673
RIBOSOME,RIBOSOME,0.9712553173303604
RIBOSOME,RIBOSOME,0.9635647386312485
RIBOSOME,RIBOSOME,0.9624942243099213
RIBOSOME,RIBOSOME,0.9604358524084091
RIBOSOME,RIBOSOME,0.967668280005455
RIBOSOME,RIBOSOME,0.967006579041481
RIBOSOME,RIBOSOME,0.9582832306623459
RIBOSOME,RIBOSOME,0.9644761830568314
ER,ER,0.8801348507404327
ER,ER,0.903462752699852
ER,ER,0.630006231367588
ER,ER,0.8806572929024696
ER,ER,0.7362147271633148
ER,ER,0.7912344038486481
ER,ER,0.8673376813530922
ER,ER,0.8527306169271469
ER,ER,0.8825745955109596
ER,ER,0.8912665545940399
ER,ER,0.58149154484272
ER,ER,0.8826368600130081
ER,ER,0.8736073225736618
ER,ER,0.8888058215379715
ER,ER,0.8819132596254349
ER,ER,0.8959953710436821
ER,ER,0.8980391472578049
PM,PM,0.9608992040157318
PM,PM,0.9544881880283356
PM,PM,0.9567775577306747
PM,PM,0.9204277396202087
PM,PM,0.96586112678051
PM,PM,0.9670462012290955
PM,PM,0.9527796059846878
PM,PM,0.9430446177721024
PM,PM,0.9587459117174149
PM,PM,0.9529839754104614
PM,PM,0.9345627576112747
PM,PM,0.9344490170478821
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9870790094137192
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9631144404411316
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.989981397986412
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9891957491636276
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9947820901870728
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9979615956544876
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9890166968107224
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9902737140655518
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9976992756128311
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9971076399087906
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9637734591960907
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.997170552611351
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9983540326356888
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9965301901102066
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9460236132144928
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9889099150896072
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9923944175243378
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9977827072143555
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9947644770145416
MITOCHONDRION,MITOCHONDRION,0.9626114666461945
MITOCHONDRION,MITOCHONDRION,0.9752210229635239
MITOCHONDRION,MITOCHONDRION,0.9046192467212677
MITOCHONDRION,MITOCHONDRION,0.9651841819286346
MITOCHONDRION,MITOCHONDRION,0.6524759829044342
MITOCHONDRION,MITOCHONDRION,0.9208056852221489
MITOCHONDRION,MITOCHONDRION,0.9411829262971878
MITOCHONDRION,MITOCHONDRION,0.9548028707504272
MITOCHONDRION,MITOCHONDRION,0.9173315465450287
MITOCHONDRION,MITOCHONDRION,0.9675606787204742
MITOCHONDRION,MITOCHONDRION,0.9865287989377975
MITOCHONDRION,MITOCHONDRION,0.9701610207557678
MITOCHONDRION,MITOCHONDRION,0.9531503468751907
MITOCHONDRION,MITOCHONDRION,0.9601619839668274
MITOCHONDRION,MITOCHONDRION,0.9788873195648193
MITOCHONDRION,MITOCHONDRION,0.9768770784139633
MITOCHONDRION,MITOCHONDRION,0.9715108126401901
MITOCHONDRION,MITOCHONDRION,0.9629888385534286
MITOCHONDRION,MITOCHONDRION,0.9766848534345627
MITOCHONDRION,MITOCHONDRION,0.9745672047138214
MITOCHONDRION,MITOCHONDRION,0.935866966843605
MITOCHONDRION,MITOCHONDRION,0.985032707452774
MITOCHONDRION,MITOCHONDRION,0.964729443192482
MITOCHONDRION,MITOCHONDRION,0.9781087934970856
MITOCHONDRION,MITOCHONDRION,0.961267426609993
PROTEASOME,PROTEASOME,0.9468052238225937
PROTEASOME,PROTEASOME,0.9309824407100677
PROTEASOME,PROTEASOME,0.9361322671175003
PROTEASOME,PROTEASOME,0.9350225776433945
PROTEASOME,PROTEASOME,0.9261352717876434
PROTEASOME,PROTEASOME,0.9442339837551117
CYTOSOL,CYTOSOL,0.988038644194603
CYTOSOL,CYTOSOL,0.9814655482769012
CYTOSOL,CYTOSOL,0.9875254929065704
CYTOSOL,CYTOSOL,0.9827568531036377
CYTOSOL,CYTOSOL,0.842567928135395
CYTOSOL,CYTOSOL,0.987981379032135
CYTOSOL,CYTOSOL,0.9860750585794449
CYTOSOL,CYTOSOL,0.9875753223896027
CYTOSOL,CYTOSOL,0.923090860247612
CYTOSOL,CYTOSOL,0.9865479171276093
GA,GA,0.9775239080190659
GA,GA,0.971738874912262
GA,GA,0.9728563874959946
GA,GA,0.9719378799200058
GA,GA,0.9573870301246643
GA,GA,0.9777828305959702
GA,GA,0.978405237197876
PEROXISOME,PEROXISOME,0.9147169291973114
PEROXISOME,ER,0.7958393171429634
PEROXISOME,PEROXISOME,0.8814199566841125
LYSOSOME,LYSOSOME,0.9728872776031494
LYSOSOME,LYSOSOME,0.877034030854702
LYSOSOME,LYSOSOME,0.9416341483592987
LYSOSOME,LYSOSOME,0.9493997544050217
LYSOSOME,LYSOSOME,0.9757068902254105
LYSOSOME,LYSOSOME,0.9657457321882248
LYSOSOME,LYSOSOME,0.9732517898082733
