Protein_ID,lps_rep1_set1_126_cyto,lps_rep1_set1_127N_F1.4,lps_rep1_set1_127C_F8,lps_rep1_set1_128N_F10,lps_rep1_set1_128C_F12,lps_rep1_set1_129N_F14,lps_rep1_set1_129C_F16,lps_rep1_set1_130N_F18,lps_rep1_set1_130C_F20,lps_rep1_set1_131_F22,lps_rep1_set2_126_F5.7,lps_rep1_set2_127N_F9,lps_rep1_set2_127C_F11,lps_rep1_set2_128N_F13,lps_rep1_set2_128C_F15,lps_rep1_set2_129N_F17,lps_rep1_set2_129C_F19,lps_rep1_set2_130N_F21,lps_rep1_set2_130C_F23,lps_rep1_set2_131_F25,markers
Q9BXW7,0.003007956,0.000685585,0.005298058,0.004344867,0.012119347,0.015271406,0.082933045,0.159065699,0.129790239,0.087000216,0.002492596,0.004459934,0.00798649,0.012896659,0.027012554,0.180526371,0.092799482,0.115954935,0.035180322,0.021174239,Mitochondria
Q9BXX0,0.006642402,0.003166633,0.008551707,0.012511822,0.022011594,0.028655972,0.108508846,0.135014448,0.106526694,0.065709918,0.003654598,0.010398878,0.01273882,0.022165392,0.037503598,0.21483501,0.061312084,0.083009777,0.026756962,0.030324845,unknown
Q9BXY0,0.17119602,0.001497388,0.005401071,0.01034023,0.017807312,0.021979423,0.051797419,0.055840453,0.085843864,0.0825917,0.002639194,0.004899975,0.005601898,0.011875035,0.019413153,0.030066698,0.038880272,0.057409712,0.147873682,0.177045502,Nucleolus
Q9BY32,0.398613553,0.001916422,0.007325162,0.003297531,0.007141516,0.008312324,0.008208496,0.014722462,0.044706841,0.013149071,0.005992016,0.010181332,0.013172647,0.012983525,0.026843252,0.125198028,0.070222017,0.143131345,0.048109684,0.036772776,unknown
Q9BY42,0.098454599,0.005017959,0.007833171,0.012450817,0.01632235,0.014946792,0.049879396,0.063434335,0.132126795,0.104037913,0.002459337,0.004040371,0.007898965,0.013111922,0.030843726,0.054400529,0.07306383,0.103648125,0.096271175,0.109757893,Nucleus
Q9BY43-2,0.204124872,0.008483856,0.020162668,0.011388275,0.016322543,0.025890972,0.044173185,0.063806579,0.070746951,0.032021937,0.006615315,0.017416511,0.030127082,0.03674826,0.052793838,0.187696119,0.043693567,0.073920566,0.027607281,0.026259622,unknown
Q9BY44,0.025892957,0.001346488,0.00368631,0.004534937,0.008206257,0.011104269,0.071642999,0.121530575,0.168844813,0.078101203,0.001894506,0.003471908,0.006821521,0.009256039,0.02272103,0.135535255,0.051641278,0.111974112,0.039263865,0.122529678,unknown
Q9BY49,0.048144019,0.006019594,0.013556782,0.008127816,0.016289822,0.019480407,0.057461093,0.130079721,0.136938599,0.078832229,0.003160899,0.006047599,0.010080037,0.016867242,0.024810361,0.164457056,0.075347073,0.113925982,0.040076719,0.030296947,Peroxisome
Q9BY77,0.007078522,0.004536905,0.011922067,0.014639296,0.026084829,0.035924133,0.076105245,0.078339702,0.115234108,0.128952336,0.002892979,0.007374755,0.007637316,0.011469027,0.028604459,0.041595537,0.046449739,0.08067762,0.106047544,0.16843388,unknown
Q9BYC5,0.006903999,0.004056788,0.007351923,0.007471333,0.019961797,0.025614333,0.093150153,0.109333509,0.133723103,0.091808022,0.004168812,0.010134018,0.018505563,0.025512084,0.047949093,0.121942371,0.083136312,0.113913278,0.045720228,0.029643281,Golgi Apparatus
Q9BYC8,0.007178945,0.001338612,0.008770804,0.011353067,0.017955175,0.024005285,0.079176471,0.148358673,0.110919792,0.084586037,0.002812583,0.006548401,0.008916082,0.014393872,0.025725481,0.220821704,0.070473263,0.097180839,0.033121913,0.026363,unknown
Q9BYC9,0.001345848,0.000834644,0.003082228,0.003943345,0.010341112,0.012722251,0.09754679,0.146199195,0.144849221,0.099708513,0.00385107,0.010531994,0.019517787,0.020054749,0.053802619,0.098621027,0.106025452,0.080975928,0.052001557,0.034044669,Mitochondria
Q9BYD1,0.002732505,0.000816497,0.004076779,0.002909998,0.004915383,0.009011843,0.062981909,0.163216977,0.170307702,0.071858718,0.001191983,0.003295873,0.006457627,0.006493153,0.016463352,0.235416491,0.071557547,0.122873922,0.027687384,0.015734359,unknown
