Protein_ID,lps_rep1_set1_126_cyto,lps_rep1_set1_127N_F1.4,lps_rep1_set1_127C_F8,lps_rep1_set1_128N_F10,lps_rep1_set1_128C_F12,lps_rep1_set1_129N_F14,lps_rep1_set1_129C_F16,lps_rep1_set1_130N_F18,lps_rep1_set1_130C_F20,lps_rep1_set1_131_F22,lps_rep1_set2_126_F5.7,lps_rep1_set2_127N_F9,lps_rep1_set2_127C_F11,lps_rep1_set2_128N_F13,lps_rep1_set2_128C_F15,lps_rep1_set2_129N_F17,lps_rep1_set2_129C_F19,lps_rep1_set2_130N_F21,lps_rep1_set2_130C_F23,lps_rep1_set2_131_F25,markers
A0A0B4J2F0,0.015537901,0.004225101,0.013799499,0.016922543,0.026299122,0.026082891,0.075398011,0.115623868,0.132767656,0.073343408,0.006388937,0.018856188,0.026854402,0.031616707,0.049349021,0.102949535,0.11645198,0.07334591,0.048817603,0.025369718,unknown
A0AVT1,0.334765181,0.001868832,0.000419014,0.003858501,0.004904109,0.00679068,0.020656405,0.030908076,0.060490693,0.027633644,0.010833221,0.013446811,0.020661201,0.021464542,0.03610774,0.103844011,0.07945807,0.136921363,0.054862161,0.030105747,unknown
A0FGR8-2,0.004472261,0.002630404,0.005682755,0.006895745,0.018998624,0.023404875,0.113153876,0.135727229,0.122978272,0.06904138,0.004311722,0.008668379,0.015349452,0.022837883,0.048599237,0.190538274,0.062820205,0.092754025,0.03323663,0.017898772,unknown
A0JNW5,0.156939873,0.007785453,0.019671745,0.026780699,0.034088369,0.023136788,0.055193068,0.047807006,0.065602726,0.060503059,0.016974071,0.044807822,0.050532512,0.035650618,0.030445966,0.104597371,0.048834694,0.108785671,0.031102025,0.030760464,unknown
A0MZ66-3,0.293992126,0.005541755,0.009830855,0.006729859,0.015670897,0.013483442,0.033636828,0.035942687,0.049899135,0.033487971,0.028471769,0.037898366,0.045366218,0.038921468,0.041307786,0.099376054,0.050471439,0.079761548,0.039484079,0.040725717,unknown
A0PJW6,0.006610141,0.001566801,0.005139538,0.003335899,0.008396744,0.011463292,0.073991209,0.164400656,0.128702236,0.096393485,0.002701385,0.008190073,0.00961456,0.012459922,0.029383865,0.155134587,0.100028658,0.124480494,0.037173872,0.020832585,unknown
A1L0T0,0.002666403,0.003500269,0.010032224,0.008795815,0.022681788,0.027384903,0.102902216,0.128149765,0.113500479,0.06986944,0.003568179,0.008380257,0.016276115,0.022226984,0.045149912,0.171229497,0.083613246,0.098279412,0.037828122,0.023964973,unknown
A1L170-2,0.004016863,0.025523507,0.030299763,0.041599781,0.063547732,0.143942832,0.092869241,0.042547657,0.029063036,0.026589588,0.020289595,0.025086033,0.046443798,0.096105005,0.150355863,0.051765058,0.048750166,0.027827228,0.016482594,0.016894659,unknown
A2A288,0.020510247,0.011741347,0.023895885,0.026061802,0.036640094,0.046987468,0.066053234,0.065016352,0.101909454,0.101184117,0.008987803,0.019989516,0.020833134,0.024484561,0.055030849,0.055447489,0.069441645,0.07965426,0.06676752,0.099363223,unknown
A2RRP1,0.00641727,0.003062427,0.009843533,0.008641956,0.022236423,0.030694162,0.107375198,0.129454458,0.1191913,0.065172309,0.003723154,0.009159353,0.015588333,0.022802788,0.048174951,0.173531827,0.073736352,0.093770837,0.035655333,0.021768035,unknown
A2RUS2,0.075170121,0.005106687,0.006950601,0.008565002,0.013504693,0.017846521,0.064003706,0.073973729,0.131792593,0.099151576,0.003890681,0.009710163,0.016354941,0.020136513,0.038103489,0.089768083,0.068613112,0.125467911,0.05958829,0.07230159,unknown
A2VDJ0-5,0.005715498,0.002006351,0.006727354,0.00952512,0.023567299,0.023000592,0.106399378,0.134878973,0.117978533,0.066746758,0.004764176,0.016598697,0.017448507,0.03345719,0.049251334,0.145914581,0.088007324,0.075111135,0.041075841,0.031825357,unknown
A3KMH1,0.006198664,0.00210893,0.008243948,0.010562487,0.017784342,0.017996621,0.070105965,0.144574358,0.146446505,0.073449235,0.003971715,0.008267727,0.011042287,0.01633985,0.032643902,0.160234431,0.09481856,0.115178564,0.036227773,0.023804135,Mitochondria
A4D1E9,0.011228362,0.001091129,0.003164666,0.003057856,0.012289211,0.011324474,0.060813096,0.145865778,0.192804942,0.070415,0.001901914,0.008069279,0.012188912,0.016609829,0.030290903,0.169273145,0.088739871,0.102162843,0.032004385,0.026704403,unknown
A4D1P6,0.13161569,0.00627866,0.012457633,0.016763346,0.028435626,0.029368502,0.063911957,0.071457732,0.075541294,0.068804214,0.017602304,0.024636803,0.034782437,0.034952639,0.057983856,0.067005941,0.059892653,0.085675253,0.055072062,0.057761399,unknown
A4D1S0,0.003435844,0.062672169,0.043163679,0.052104058,0.073138201,0.093169293,0.076554677,0.047244621,0.026071659,0.022445798,0.010308117,0.032613822,0.049836638,0.080141613,0.099351776,0.081741011,0.061640081,0.044695037,0.02534594,0.014325966,unknown
A5D8V6,0.019670074,0.038333448,0.045242898,0.075914459,0.073554019,0.137569934,0.051768356,0.026148368,0.016668539,0.015129905,0.005792701,0.029073796,0.030118128,0.053747067,0.078223139,0.122129702,0.067840374,0.068129578,0.015754098,0.029191417,unknown
A5PLL7,0.002781097,0.001794157,0.005815825,0.010707093,0.016970456,0.022600473,0.069312282,0.128071675,0.187789575,0.059776865,0.004440952,0.009856298,0.017223586,0.023030073,0.038776893,0.182676733,0.072384414,0.097178599,0.031029228,0.017783725,unknown
A5PLN9-5,0.083595348,0.011079635,0.010229303,0.016287672,0.036657897,0.050911241,0.080584202,0.069501388,0.079446738,0.063755334,0.004251616,0.010584441,0.029085187,0.037995764,0.052288736,0.127029194,0.061012464,0.101706744,0.040767228,0.033229868,unknown
A5YKK6,0.019192305,0.001816134,0.004451786,0.006390678,0.012168221,0.018559083,0.085792445,0.124765319,0.145907692,0.075922542,0.004268407,0.006921474,0.009230245,0.014155493,0.030739172,0.138116751,0.050644231,0.085595796,0.037378877,0.12798335,unknown
A6NC98,0.204790855,0.007034274,0.009871531,0.006148845,0.011624675,0.013574712,0.048057808,0.060234293,0.096338456,0.054493516,0.01968546,0.028221944,0.037985368,0.035780452,0.05204702,0.065876907,0.066537597,0.082580392,0.046522047,0.052593849,unknown
A6NDG6,0.408480543,0.002631061,0.010408248,0.004255603,0.00645303,0.007867102,0.018117891,0.018379095,0.015956341,0.011946371,0.066039164,0.080185659,0.087151385,0.059175889,0.058629485,0.044847428,0.037782205,0.027251115,0.020228069,0.014214318,Cytosol
A6NEE1,0.005940426,0.004174541,0.004384462,0.006073185,0.006906958,0.011172054,0.100959298,0.134504742,0.148080481,0.077803852,0.001764367,0.005065736,0.007790308,0.006727398,0.016847774,0.307408945,0.033451087,0.100249739,0.014648714,0.006045933,unknown
A6NHR9,0.006243317,0.00101529,0.002441643,0.003495525,0.009147667,0.012799629,0.056617164,0.073550998,0.174822534,0.159551458,0.00141535,0.003010262,0.005108639,0.008035702,0.025044599,0.075006921,0.077656695,0.178122579,0.075122246,0.051791785,Chromatin
A6NI28,0.009735187,0.001896884,0.009912095,0.015689459,0.018030789,0.030482152,0.070776251,0.153247052,0.096912348,0.093317784,0.003297736,0.010738624,0.015322842,0.021269042,0.0356677,0.180683423,0.070811513,0.09159994,0.043418067,0.027191112,unknown
A6NJ78,0.017674435,0.002434499,0.008983467,0.012988025,0.024078877,0.029600173,0.088533749,0.127841726,0.108917747,0.075181158,0.002675715,0.011053719,0.01512273,0.023055933,0.045548629,0.118132698,0.111396253,0.089605429,0.052865247,0.034309791,unknown
A8MTT3,0.003775693,0.002094889,0.001510518,0.002430898,0.009833232,0.010301261,0.063107267,0.151963217,0.179353114,0.07562991,0.00192691,0.002705573,0.00537962,0.009139258,0.015318611,0.247689544,0.050964246,0.124146838,0.024513877,0.018215523,unknown
A8MVS5,0.001727526,0.07553009,0.064049783,0.074666422,0.077933314,0.069297495,0.056541922,0.037170923,0.021583174,0.021499351,0.054837946,0.075289392,0.091040767,0.082022015,0.077490845,0.048274716,0.031662749,0.020334481,0.010730752,0.008316337,unknown
A8MXV4,0.005941083,0.00112493,0.006402061,0.00816208,0.010779328,0.021539853,0.095715564,0.150240653,0.123842674,0.077881317,0.002466073,0.006804471,0.009702435,0.011877733,0.025961266,0.181257329,0.087549077,0.118147843,0.036776565,0.017827664,Peroxisome
A9YTQ3-2,0.058684312,0.002299412,0.004176457,0.005457548,0.006360161,0.010347986,0.04430779,0.062827019,0.195863169,0.109676147,0.004504877,0.004562021,0.006486178,0.004286211,0.022924307,0.122158297,0.054027556,0.177632042,0.063780756,0.039637756,unknown
B0I1T2,0.005175351,0.026787415,0.024299415,0.026524148,0.048952999,0.060909967,0.108826908,0.087214086,0.064532877,0.039315088,0.016658023,0.025707326,0.040211839,0.047166628,0.083847983,0.14540162,0.049622596,0.061017091,0.023528448,0.014300191,Plasma Membrane
B2RUZ4,0.00471308,0.020970531,0.029747114,0.037964037,0.067660358,0.072728721,0.105474499,0.073676933,0.04716006,0.039904666,0.022436497,0.035009903,0.050556511,0.04925334,0.078474227,0.134059042,0.056812089,0.054404357,0.009813584,0.00918045,unknown
B7ZBB8,0.240801384,0.002712728,0.01058946,0.01348689,0.016852239,0.014333533,0.044294333,0.048931986,0.056701425,0.051296022,0.012504578,0.006838049,0.020268622,0.026924244,0.052882611,0.044894246,0.08920706,0.090146293,0.09083485,0.065499447,unknown
C9J798,0.079257606,0.00696446,0.007711608,0.009278484,0.015166162,0.024318507,0.077132512,0.077130901,0.09865436,0.087218332,0.007474134,0.016152534,0.021882135,0.026144247,0.045035822,0.092620776,0.064444124,0.103721272,0.055956014,0.083736011,unknown
C9JLW8,0.028287312,0.00228391,0.00959025,0.0051688,0.016288878,0.017665733,0.093109908,0.11735867,0.112138812,0.097700256,0.003383498,0.006092745,0.005504656,0.007894866,0.027251851,0.124552582,0.054608497,0.096032949,0.030052546,0.145033282,Nucleus
O00115,0.008112436,0.004033702,0.015535699,0.012356439,0.027286791,0.03519324,0.121023206,0.122762826,0.094397451,0.059825069,0.006066633,0.013578446,0.025377012,0.037444401,0.065169203,0.134145711,0.078150012,0.074076597,0.037649459,0.027815666,Lysosome
O00116,0.001475238,0.00128955,0.004950423,0.005782214,0.012951955,0.01988324,0.089829125,0.133706178,0.140188996,0.090386013,0.002138755,0.004796019,0.00791731,0.013674207,0.034242644,0.161457606,0.085338969,0.125985332,0.041348511,0.022657716,Peroxisome
O00139-2,0.036318651,0.021729677,0.015155476,0.021712355,0.030854845,0.031936431,0.0513242,0.059230006,0.119346379,0.112391979,0.014199323,0.012989549,0.027508302,0.028761946,0.038633374,0.055709641,0.066808415,0.093828915,0.076441711,0.085118824,unknown
O00142,0.004557027,0.001879967,0.006624957,0.006896581,0.01507442,0.018869706,0.09253221,0.160895823,0.120651294,0.079781557,0.006482012,0.010221641,0.01836223,0.024307805,0.040173482,0.15886537,0.06694936,0.095195107,0.03741301,0.034266439,unknown
O00148,0.238684647,0.00157721,0.000973478,0.00223798,0.00441131,0.006121261,0.031440581,0.040948239,0.097853778,0.079119662,0.001537941,0.002143682,0.004194434,0.006975382,0.018774942,0.08356419,0.070455721,0.189843613,0.076283165,0.042858784,unknown
O00151,0.232203477,0.024723465,0.02239134,0.017235036,0.028567745,0.029847755,0.046461756,0.035111833,0.038954951,0.020461806,0.026931901,0.044541718,0.054433045,0.064014117,0.068486794,0.089008502,0.050883316,0.060772331,0.024935352,0.020033759,unknown
O00154,0.311309103,0.003695139,0.000657783,0.008736613,0.011440324,0.011718087,0.03293051,0.03240477,0.052468118,0.044532207,0.012910867,0.01683362,0.023522605,0.025981399,0.037156318,0.098237664,0.067204098,0.127323148,0.04847705,0.032460578,unknown
O00159-3,0.025304295,0.031879411,0.023557836,0.028189699,0.041586094,0.050446186,0.090735938,0.074508842,0.077023605,0.048278003,0.024624237,0.029116952,0.046807037,0.044773035,0.071302054,0.120240327,0.053729383,0.06560453,0.032426863,0.019865674,unknown
O00160,0.217605321,0.005573433,0.013237054,0.010085,0.014845336,0.015139675,0.043454451,0.048181071,0.072448102,0.053090801,0.00963832,0.016579786,0.01991544,0.018967067,0.040416386,0.106498976,0.070624001,0.132159039,0.053741915,0.037798827,unknown
O00161,0.006963961,0.032317496,0.033112491,0.032089548,0.051967082,0.062419198,0.085110622,0.07758286,0.070405337,0.028934092,0.024543878,0.038346866,0.055116037,0.059744453,0.083741488,0.140817152,0.045900616,0.043662572,0.016203125,0.011021126,Plasma Membrane
O00165-2,0.005275805,0.001154491,0.004082931,0.006653016,0.012257915,0.01604696,0.086943563,0.153439327,0.123973194,0.080984904,0.00256974,0.006854889,0.010007279,0.016508221,0.024322329,0.237066212,0.072290846,0.093030918,0.028471755,0.018065704,unknown
O00170,0.304363259,0.005599393,0.013932873,0.007577563,0.009427116,0.012468826,0.028078277,0.029968837,0.058294246,0.036119334,0.012103694,0.018881609,0.029062542,0.026428701,0.040501908,0.085981891,0.066027519,0.106029457,0.058527837,0.050625119,unknown
O00178,0.114847549,0.004744231,0.009067381,0.008468518,0.016372111,0.019864951,0.043441944,0.064657868,0.112183518,0.083805839,0.002678304,0.005718944,0.008453645,0.011136783,0.033623006,0.075324345,0.069528209,0.128290987,0.066306774,0.121485095,unknown
O00182,0.011715866,0.030479196,0.029782856,0.039837859,0.065617469,0.075432753,0.09204296,0.070125236,0.05114525,0.039790759,0.02100445,0.035894783,0.05606523,0.052986651,0.080555912,0.105909757,0.051913486,0.052258265,0.023124067,0.014317193,unknown
O00186,0.005954317,0.011289964,0.01171268,0.017871972,0.023150483,0.033965077,0.120399738,0.105364267,0.121545118,0.049937096,0.008303863,0.015983704,0.0260727,0.033263227,0.066736738,0.181497352,0.05131876,0.074732338,0.024252607,0.016647998,unknown
O00189,0.080881045,0.00702385,0.008040757,0.022901264,0.020114779,0.026311139,0.056424981,0.077076162,0.121547356,0.079678667,0.01857691,0.028186732,0.046461634,0.055305487,0.074352201,0.073480011,0.067044691,0.069848976,0.042646406,0.024096952,unknown
O00193,0.45986982,0.000894923,7.11E-05,0.001029746,0.00138189,0.001589214,0.006811316,0.010408546,0.010295416,0.007648023,0.019797112,0.039641036,0.042378874,0.035299604,0.04975148,0.088712497,0.067873049,0.082446237,0.041267054,0.032833057,unknown
O00203,0.303028225,0.002315307,0.003275132,0.003303075,0.005538858,0.008450202,0.033293399,0.043570384,0.075838262,0.041682212,0.003235866,0.006889291,0.009263089,0.014568619,0.028485196,0.135482598,0.070489862,0.13256542,0.04725418,0.031470823,unknown
O00214-2,0.006101531,0.030280804,0.0330653,0.034364156,0.056741552,0.066865791,0.097734829,0.070388302,0.053103681,0.039594213,0.015151946,0.030309346,0.037624204,0.046613366,0.077549627,0.130749449,0.057743498,0.072058639,0.02793357,0.016026196,unknown
O00217,0.001516243,0.001503213,0.0078175,0.007119626,0.02101462,0.020821652,0.084742472,0.138799084,0.115331563,0.085456367,0.003564943,0.010161769,0.014168256,0.022007649,0.035991437,0.138510885,0.114260705,0.108305906,0.044407741,0.024498368,unknown
O00231-2,0.273851104,0.001188813,0.000203754,0.001730944,0.002530153,0.004321687,0.026674233,0.047685402,0.083788547,0.055636113,0.005992617,0.009489465,0.012663451,0.013560398,0.029277006,0.119821886,0.072036779,0.164046088,0.047780899,0.027720659,unknown
O00232,0.228649398,0.003461022,0.00852672,0.004820439,0.009723808,0.013047095,0.031700637,0.04702724,0.081717074,0.054735731,0.004084452,0.005818553,0.009691492,0.011039323,0.024553217,0.136556946,0.063419257,0.182014927,0.053458645,0.025954024,unknown
O00233,0.315296785,0.004526047,0.005601762,0.009501753,0.012301131,0.013072066,0.029819837,0.035725286,0.043192361,0.029277504,0.014610842,0.024934836,0.029402205,0.027240327,0.035110093,0.121925471,0.056816908,0.120256132,0.036541949,0.034846705,unknown
O00241,0.002278086,0.101858045,0.055791473,0.071576255,0.070929774,0.082892426,0.050680713,0.030033839,0.020944777,0.018755776,0.038586901,0.050287344,0.059185507,0.071139408,0.089731693,0.053556781,0.052306023,0.042600549,0.023151041,0.013713588,unknown
O00257,0.027226919,0.008191221,0.00870337,0.008645686,0.017765098,0.020527642,0.06946931,0.081134283,0.158671669,0.100919811,0.003459442,0.006540385,0.011289628,0.014289159,0.028364871,0.046689014,0.065387114,0.111928869,0.075320988,0.135475522,unknown
O00264,0.00296848,0.00241437,0.010546564,0.012791793,0.028989166,0.036936232,0.134454074,0.114933567,0.090875346,0.077097978,0.00212251,0.008279308,0.014293078,0.019691726,0.052883486,0.129291959,0.088133595,0.107846712,0.042089636,0.023360421,Endoplasmic Reticulum
O00268,0.032924573,0.007381045,0.026759031,0.024175861,0.037145282,0.05587782,0.085042991,0.073253498,0.065285953,0.102706841,0.002938996,0.004231941,0.005732408,0.011154806,0.029068052,0.068491978,0.076737922,0.127303766,0.082824964,0.080962272,unknown
O00291,0.04774886,0.00925388,0.011899645,0.016043945,0.031414363,0.049421622,0.120645545,0.09448974,0.068607567,0.041803332,0.010431844,0.014176432,0.029287813,0.042630948,0.083786833,0.162261342,0.054385739,0.058143237,0.029493029,0.024074286,unknown
O00299,0.220815599,0.006765301,0.01906835,0.009517208,0.015293813,0.015992928,0.037130633,0.034707083,0.04403413,0.044156772,0.01101517,0.020691297,0.021892812,0.023946746,0.040560062,0.123859571,0.078480832,0.144307872,0.054201192,0.033562627,unknown
O00303,0.203779004,0.002126352,0.009669686,0.003482673,0.006953554,0.009626904,0.042804337,0.054922626,0.102148272,0.065008378,0.002275917,0.003172363,0.006062938,0.007393901,0.019002083,0.130673058,0.056894538,0.157322716,0.046584435,0.070096265,unknown
O00308,0.017392351,0.017112467,0.026187338,0.044832378,0.049191879,0.042041429,0.069720658,0.068288405,0.094159414,0.063980396,0.014478256,0.033909057,0.051077401,0.049969786,0.05869858,0.096549589,0.052930149,0.064862211,0.03391738,0.050700875,unknown
O00329,0.104870609,0.002947268,0.004044865,0.005010693,0.008439097,0.008993206,0.056510525,0.074414259,0.149632106,0.083328064,0.005512589,0.008579741,0.012681129,0.016472729,0.03172497,0.111102458,0.060761038,0.140969635,0.057686373,0.056318646,unknown
O00330,0.003135222,0.001049972,0.00296954,0.003735281,0.008284879,0.010391735,0.072320443,0.163304898,0.161846974,0.064493875,0.002951109,0.006250775,0.009994847,0.013381493,0.026729556,0.190319828,0.092419222,0.108505777,0.034073801,0.02384077,Mitochondria
O00339,0.016472698,0.002539381,0.015996696,0.018061085,0.038732807,0.039711221,0.109098203,0.114286428,0.090222991,0.061867191,0.005414322,0.02275597,0.022781912,0.038746656,0.05853483,0.101951157,0.077402888,0.075973706,0.038016188,0.051433669,unknown
O00391,0.004368175,0.006122248,0.018670855,0.027351186,0.03771471,0.042151795,0.093100719,0.098306483,0.102217122,0.060614981,0.007718251,0.020228162,0.033454667,0.032512669,0.051637345,0.145426093,0.070295955,0.087150674,0.037578988,0.023378922,Golgi Apparatus
O00400,0.076044589,0.004376098,0.017601391,0.016792418,0.027209159,0.034059103,0.075951364,0.097630183,0.09861793,0.055417245,0.004937805,0.011740766,0.017527937,0.021895276,0.047777335,0.160738064,0.078201227,0.093198407,0.039736182,0.020547521,Endoplasmic Reticulum
O00410-3,0.279492771,0.001659489,0.003360665,0.003968459,0.003575938,0.006366073,0.030796032,0.056778043,0.082921537,0.031087581,0.002347099,0.005512593,0.007947872,0.013952151,0.021754644,0.222747824,0.064514616,0.116440094,0.027806874,0.016969645,unknown
O00411,0.004959727,0.001975975,0.007363482,0.008179615,0.01577493,0.021650327,0.08249939,0.1441124,0.129318145,0.075517233,0.002735596,0.007408186,0.010078846,0.016327091,0.032751345,0.166359971,0.094291769,0.110252911,0.041790393,0.026652668,Mitochondria
O00422,0.040096938,0.002298537,0.005765219,0.008489159,0.016349034,0.020248708,0.04880863,0.068532527,0.129673051,0.151653499,0.001784907,0.00260454,0.003703678,0.00908008,0.016706389,0.05481205,0.04589556,0.090560262,0.18650818,0.096429053,unknown
O00429,0.035677563,0.06467823,0.042629869,0.05094726,0.046061857,0.041576334,0.055435639,0.046897606,0.04428098,0.071814662,0.027562815,0.035240774,0.042539871,0.038100678,0.0456357,0.054416608,0.064098143,0.092390698,0.048413128,0.051601585,unknown
O00442-2,0.213809405,0.004321814,0.003616199,0.004976065,0.008179406,0.007608168,0.043628338,0.055199884,0.089420836,0.059209309,0.005835743,0.009983989,0.014684386,0.014939835,0.027601555,0.117902426,0.058074396,0.152698698,0.049457521,0.058852029,unknown
O00443,0.013894642,0.008591081,0.010449691,0.020046991,0.027438139,0.053917106,0.089301298,0.096336763,0.093257241,0.070730184,0.006036775,0.011289867,0.019142461,0.026846826,0.054375203,0.150615977,0.055877973,0.098140266,0.03469537,0.059016146,unknown
O00453,0.004921385,0.036381663,0.029613655,0.041835341,0.056836429,0.063909621,0.083882464,0.06637501,0.052405721,0.049623207,0.023545521,0.034539201,0.043715961,0.050658199,0.074975617,0.120442969,0.057480841,0.064306314,0.027383861,0.017167019,unknown
O00459,0.119065286,0.023204819,0.010530639,0.016882018,0.051292768,0.055584537,0.040078671,0.059316473,0.063960595,0.060084194,0.011563061,0.02139307,0.033319416,0.043562255,0.055167532,0.040033963,0.06282942,0.059536154,0.062646582,0.109948548,unknown
O00461,0.004646206,0.00387842,0.014124586,0.010200798,0.026193779,0.023263064,0.081916394,0.10868579,0.156487087,0.071113688,0.003494285,0.010902655,0.015350385,0.020852359,0.036445871,0.176896693,0.066774212,0.111232634,0.029923492,0.027617602,Golgi Apparatus
O00462,0.019610891,0.002043541,0.001265324,0.004297637,0.007625728,0.011903444,0.102256547,0.141285357,0.159455469,0.05035039,0.00204419,0.006313324,0.009814746,0.017807348,0.036586049,0.245137531,0.053807634,0.095659766,0.020721712,0.012013372,unknown
O00468,0.018572767,0.007269611,0.01979343,0.020803733,0.031996545,0.038171491,0.092567431,0.118893142,0.099465881,0.068824721,0.005587009,0.013835515,0.02303205,0.026559835,0.044495504,0.141562598,0.066570679,0.089814811,0.038586519,0.033596727,unknown
O00469-2,0.031805642,0.006388324,0.016426799,0.014289992,0.034024014,0.043591096,0.099578424,0.099224824,0.088267806,0.071197185,0.004943165,0.013068954,0.015405571,0.027234449,0.052172092,0.158329613,0.074555354,0.088020072,0.036821032,0.024655591,unknown
O00471,0.023604842,0.00697096,0.004618098,0.005499644,0.016009845,0.02476623,0.09525053,0.113187216,0.14140342,0.062873269,0.008681238,0.015704333,0.027902551,0.036070911,0.056459337,0.14425673,0.050564986,0.097034385,0.040291075,0.028850399,unknown
O00479,0.017291215,0.00083644,0.005391592,0.003842245,0.010880559,0.012342022,0.044799386,0.066730297,0.139536894,0.185324136,0.00130397,0.002141182,0.004755813,0.008128602,0.019897271,0.063360422,0.08112894,0.181547813,0.091818682,0.05894252,unknown
O00483,0.000769546,0.000694529,0.003277953,0.003411102,0.006332429,0.008610558,0.068505756,0.165820794,0.188230763,0.059923858,0.001072126,0.003785624,0.005051136,0.006147586,0.015214109,0.254357267,0.058930548,0.110252904,0.026818444,0.012792969,Mitochondria
O00487,0.263890162,0.002665918,0.009640829,0.002860602,0.004213497,0.007417657,0.031278187,0.045446202,0.082148301,0.048084161,0.004259773,0.008828352,0.00834953,0.013392301,0.033623048,0.123169169,0.063140875,0.178025577,0.04614891,0.02341695,unknown
O00522,0.04517904,0.050854564,0.042167339,0.038896124,0.059921989,0.053281893,0.059595024,0.047228731,0.0538566,0.047606467,0.034112701,0.038617125,0.062502792,0.044620179,0.072461961,0.060134631,0.053273377,0.046538185,0.038688291,0.050462988,unknown
O00541,0.154873178,0.002016436,0.006151615,0.010615817,0.017763343,0.023762782,0.048590194,0.065588691,0.096140056,0.071604445,0.002379984,0.00441161,0.008699384,0.011114025,0.020922714,0.048902915,0.028192493,0.055943225,0.135233981,0.18709311,Nucleus
O00559-2,0.002871021,0.004527205,0.009838122,0.01855962,0.032512903,0.046377104,0.092073412,0.104115162,0.147965811,0.05239309,0.007219177,0.017452751,0.029148505,0.036554897,0.058048171,0.131958005,0.065685744,0.078081694,0.038168002,0.026449606,Golgi Apparatus
O00560,0.009834792,0.003803004,0.004329707,0.013726364,0.024002676,0.023926221,0.105864623,0.135277663,0.133579909,0.049905695,0.005848259,0.009308682,0.011396862,0.019518889,0.035983227,0.266940311,0.045573477,0.072384853,0.016164188,0.012630596,unknown
O00560-2,0.013901663,0.004857386,0.009942541,0.007844462,0.025384326,0.028667104,0.099736794,0.118584153,0.14451943,0.046562142,0.004541587,0.005036973,0.013676624,0.017712371,0.034789259,0.263924238,0.046590263,0.074708153,0.021163679,0.017856854,unknown
O00566,0.074263256,0.001972093,0.004256775,0.002957672,0.004990044,0.008199648,0.061807555,0.121154265,0.123085678,0.105576458,0.003308135,0.005364247,0.007872611,0.010749027,0.018441864,0.067813037,0.038318989,0.072511993,0.111149627,0.156207028,Nucleolus
O00567,0.023941329,0.00152218,0.004493805,0.007173783,0.012653274,0.015669687,0.058523138,0.081319472,0.129271311,0.163525629,0.001226093,0.00315261,0.005412164,0.008367857,0.019115466,0.056752737,0.043543634,0.084463358,0.18559994,0.094272533,Nucleolus
O00571,0.049398479,0.003939268,0.003937691,0.007125173,0.010374407,0.014817622,0.071394889,0.087084376,0.141112265,0.105972694,0.004694688,0.011236493,0.012345217,0.013529988,0.025935164,0.089193366,0.049012984,0.082376993,0.067054696,0.149463547,unknown
O00584,0.006029964,0.002408937,0.007598553,0.01108681,0.025763133,0.038592125,0.111636128,0.13499346,0.094483945,0.063422886,0.003005929,0.009062802,0.014273104,0.027271018,0.049009955,0.185755308,0.072416845,0.090674666,0.031239721,0.021274711,unknown
O00592,0.017800764,0.006671151,0.021181072,0.007278035,0.025291686,0.026075967,0.086591829,0.113716755,0.150909203,0.044483539,0.004710628,0.014523929,0.030043862,0.035289972,0.036985922,0.209247679,0.030271824,0.066117749,0.047039157,0.025769278,unknown
O00743-3,0.307368822,0.002542057,0.004278895,0.002456079,0.005644717,0.006867828,0.025006226,0.034096728,0.061733872,0.038163834,0.009093731,0.016846952,0.024541358,0.02719745,0.040348132,0.088819269,0.076695141,0.13084293,0.059490333,0.037965647,unknown
O00746,0.044382455,0.001376154,0.007834402,0.007685238,0.01515801,0.018850572,0.064630252,0.118770897,0.138443364,0.07462207,0.004101759,0.011289512,0.017671665,0.020329807,0.036256717,0.147242827,0.094135442,0.11316858,0.035460361,0.028589915,unknown
O00748,0.02390349,0.011129932,0.019406451,0.022262727,0.02887341,0.037246581,0.109431596,0.113911746,0.08118593,0.05135122,0.010673808,0.015704273,0.021532588,0.035569286,0.057614219,0.161686484,0.070243627,0.081606377,0.027825586,0.018840668,unknown
O00754,0.006010844,0.001424636,0.005140441,0.007248914,0.016532546,0.022835253,0.111095918,0.141143388,0.12794879,0.057227316,0.003117192,0.007977313,0.012104112,0.024416038,0.049079863,0.208122734,0.069870881,0.083062273,0.028307394,0.017334153,Lysosome
O00764,0.313430397,0.004405033,0.005922612,0.007156935,0.011655913,0.01089504,0.030034094,0.027261835,0.053219016,0.036852366,0.010932617,0.020194177,0.027415041,0.026986908,0.036737553,0.087583846,0.070042196,0.126073719,0.060696299,0.032504404,unknown
O00767,0.005405605,0.007846561,0.011053704,0.015439875,0.016081214,0.03146243,0.08192652,0.140922171,0.142336478,0.061578193,0.002441603,0.007637891,0.010685549,0.012724004,0.029566204,0.195911332,0.067046929,0.107511144,0.035404062,0.017018532,unknown
O14492,0.074718832,0.011880905,0.026063771,0.02303898,0.03971595,0.059512117,0.092919986,0.077345308,0.041198842,0.053605309,0.009709014,0.04485836,0.081197383,0.092017166,0.061120752,0.042251914,0.052117902,0.038595913,0.052676958,0.025454638,unknown
O14497,0.056491314,0.003045694,0.002334737,0.008866789,0.013676226,0.01823411,0.042923365,0.073461389,0.187118342,0.105310801,0.003009977,0.005023787,0.006261253,0.006810385,0.029639975,0.063284525,0.073629228,0.134580185,0.086609241,0.079688678,Chromatin
