,P1rep1,P2rep1,P3rep1,P4rep1,P5rep1,P6rep1,P7rep1,P8rep1,P9rep1,SNrep1,P1rep2,P2rep2,P3rep2,P4rep2,P5rep2,P6rep2,P7rep2,P8rep2,P9rep2,SNrep2,P1rep3,P2rep3,P3rep3,P4rep3,P5rep3,P6rep3,P7rep3,P8rep3,P9rep3,SNrep3,markers
P09382,0.07624309392265194,0.2113207547169811,0.31612903225806455,0.10878661087866108,0.30000000000000004,0.27490039840637454,0.21374045801526717,0.13774104683195593,0.13052208835341367,0.4883720930232558,0.2067307692307692,0.1684981684981685,0.42307692307692313,0.20630372492836677,0.19330855018587365,0.1217798594847775,0.14392059553349873,0.09826589595375723,0.12572533849129594,0.5149700598802396,0.11627906976744186,0.17398648648648649,0.3931297709923664,0.21485411140583557,0.33783783783783783,0.34955752212389385,0.16483516483516483,0.15616438356164383,0.11513859275053306,0.48608137044967886,unknown
P63218,0.10718232044198893,0.3679245283018867,0.664516129032258,0.21059972105997207,0.5035714285714286,0.30677290836653387,0.24045801526717556,0.08264462809917356,0.024096385542168676,0.005813953488372093,0.30288461538461536,0.30952380952380953,0.5384615384615385,0.48997134670487114,0.2825278810408922,0.0889929742388759,0.1662531017369727,0.08477842003853564,0.061895551257253385,0.007984031936127744,0.2476744186046512,0.2567567567567567,0.66412213740458,0.42440318302387275,0.34684684684684686,0.2610619469026549,0.17857142857142858,0.08767123287671233,0.014925373134328358,0.0021413276231263384,unknown
P04792,0.04309392265193371,0.12452830188679245,0.29677419354838713,0.12273361227336123,0.41785714285714287,0.5099601593625498,0.29389312977099236,0.12396694214876033,0.15461847389558234,0.43023255813953487,0.08814102564102565,0.15384615384615385,0.5641025641025642,0.2492836676217765,0.3197026022304833,0.2857142857142857,0.1836228287841191,0.0789980732177264,0.0851063829787234,0.4051896207584831,0.04534883720930232,0.1199324324324324,0.4198473282442748,0.25464190981432366,0.5765765765765766,0.5398230088495576,0.2087912087912088,0.16164383561643836,0.11727078891257997,0.41541755888650966,unknown
P60174-1,0.039779005524861875,0.12264150943396226,0.27419354838709675,0.11297071129707113,0.35714285714285715,0.5617529880478088,0.29770992366412213,0.12121212121212122,0.12048192771084337,0.4709302325581395,0.06250000000000001,0.13003663003663007,0.47435897435897445,0.19197707736389683,0.2899628252788105,0.24824355971896955,0.18858560794044663,0.08670520231213873,0.10638297872340426,0.500998003992016,0.037209302325581395,0.11148648648648647,0.3893129770992366,0.2360742705570292,0.5630630630630631,0.5176991150442478,0.18406593406593408,0.15342465753424658,0.1300639658848614,0.48179871520342615,unknown
P00558,0.036464088397790057,0.10188679245283017,0.2612903225806451,0.1324965132496513,0.38571428571428573,0.7091633466135459,0.316793893129771,0.1487603305785124,0.14257028112449802,0.32170542635658916,0.1330128205128205,0.10256410256410257,0.5897435897435898,0.31518624641833815,0.42007434944237926,0.34192037470725994,0.21588089330024815,0.08092485549132947,0.08897485493230174,0.14371257485029942,0.03255813953488372,0.1064189189189189,0.366412213740458,0.26525198938992045,0.5630630630630631,0.5132743362831859,0.1978021978021978,0.1726027397260274,0.1257995735607676,0.4903640256959315,unknown
P49006,0.06298342541436465,0.24528301886792453,0.5290322580645161,0.202231520223152,0.4750000000000001,0.40637450199203184,0.2671755725190839,0.1460055096418733,0.08032128514056223,0.12403100775193798,0.15544871794871795,0.21794871794871798,0.5598290598290598,0.4183381088825216,0.31598513011152424,0.1873536299765808,0.22084367245657566,0.11560693641618497,0.10058027079303676,0.15568862275449102,0.13255813953488374,0.19256756756756754,0.5954198473282443,0.3740053050397879,0.48198198198198205,0.4115044247787611,0.2335164835164835,0.1452054794520548,0.07036247334754799,0.10920770877944327,unknown
P09651-2,0.25193370165745854,0.026415094339622643,0.08709677419354837,0.04184100418410042,0.24285714285714285,0.3665338645418327,0.5763358778625953,0.5399449035812672,0.23694779116465864,0.046511627906976744,0.10737179487179488,0.058608058608058615,0.21794871794871798,0.11747851002865328,0.16356877323420077,0.13114754098360654,0.3746898263027295,0.5202312138728323,0.2862669245647969,0.059880239520958084,0.1662790697674419,0.07263513513513511,0.2480916030534351,0.14588859416445624,0.34684684684684686,0.3849557522123895,0.42032967032967034,0.4876712328767123,0.24307036247334757,0.04282655246252677,unknown
Q9C010,0.04309392265193371,0.14339622641509434,0.3548387096774194,0.14365411436541142,0.3821428571428571,0.5537848605577689,0.24427480916030533,0.11570247933884296,0.09839357429718876,0.4186046511627907,0.07371794871794872,0.13369963369963372,0.5299145299145299,0.22636103151862466,0.2565055762081785,0.2388758782201405,0.17617866004962776,0.10982658959537571,0.11218568665377175,0.44510978043912175,0.053488372093023255,0.10979729729729729,0.866412213740458,0.3819628647214855,0.5900900900900901,1.0,0.10714285714285715,0.11780821917808221,0.13432835820895522,0.43683083511777304,unknown
P23396,0.022099447513812157,0.09056603773584905,0.1709677419354839,0.0794979079497908,0.3392857142857143,0.3904382470119521,0.5190839694656487,0.6088154269972452,0.41767068273092367,0.023255813953488372,0.02724358974358974,0.0750915750915751,0.15384615384615388,0.12034383954154727,0.1747211895910781,0.12412177985948479,0.3523573200992556,0.5086705202312138,0.49709864603481624,0.023952095808383235,0.023255813953488375,0.07432432432432431,0.2022900763358778,0.15384615384615385,0.35585585585585583,0.4115044247787611,0.4285714285714286,0.5890410958904111,0.44562899786780386,0.04068522483940043,RIBOSOME
O75368,0.04309392265193371,0.10566037735849056,0.25161290322580643,0.10599721059972106,0.31428571428571433,0.3784860557768924,0.29770992366412213,0.15702479338842976,0.13453815261044177,0.6085271317829457,0.05448717948717949,0.11904761904761907,0.4401709401709402,0.18911174785100288,0.28624535315985133,0.2271662763466042,0.18610421836228286,0.10404624277456646,0.08897485493230174,0.6347305389221557,0.04883720930232559,0.1199324324324324,0.41221374045801523,0.25464190981432366,0.5810810810810811,0.5221238938053098,0.18131868131868134,0.15342465753424658,0.1300639658848614,0.45610278372591007,unknown
