"","R1_Con_03","R1_Con_06","R1_Con_12","R1_Con_24","R1_Con_80","R2_Con_03","R2_Con_06","R2_Con_12","R2_Con_24","R2_Con_80","R3_Con_03","R3_Con_06","R3_Con_12","R3_Con_24","R3_Con_80","markers"
"Q92887",0.01407405891063,0.0167691661329676,0.0152278237067667,0.0267463657286235,0.0544792218033862,0.0183305892915108,0.0130273263674638,0.0110024866965148,0.0190185980724447,0.0393348403630518,0.0152709095499479,0.0125691737363517,0.0111120534108489,0.0221160997758951,0.046957720310491,"Plasma membrane"
"Q13443;Q13443-2",0.0208101505199632,0.0199412323835328,0.0170550388356355,0.0250807301569153,0.0408768695794915,0.024388062682611,0.0159640875636062,0.0138284419227975,0.0198876218187408,0.0358265646041702,0.0202496117385313,0.0143356073543257,0.0125308764829192,0.0188132755889037,0.0393088791667685,"Plasma membrane"
"Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3",0.0185193447486362,0.0146009849231757,0.016016051952612,0.0274463653487666,0.0521555648200931,0.0169861998280504,0.0122525007506973,0.0122823833804434,0.0219243043935974,0.0353071571180943,0.0164070163584571,0.0102076157957091,0.00982370701077622,0.0220716423597068,0.0449837336810233,"Plasma membrane"
"O95782;O95782-2",0.00816504699569867,0.0209148539641775,0.0260272122175908,0.037869993747724,0.0446585946432594,0.0108833962348536,0.0136711950064695,0.0178590745358926,0.0255108858506031,0.0383808659629478,0.00876936701114483,0.0127432619863621,0.0147447538786746,0.0222256684381146,0.038229967764145,"Plasma membrane"
"O94973;O94973-2;O94973-3",0.00859767814913734,0.0207742985397759,0.0263252654695094,0.0374513662981947,0.0411024376478252,0.0114752205840115,0.0137595568744524,0.0185791941356804,0.0270967494868702,0.0366371253352935,0.00961343445536853,0.0132113384727182,0.0154674179991497,0.0228545168902018,0.0356927545381385,"Plasma membrane"
"Q96CW1;Q96CW1-2",0.00879354627582035,0.0202489372073172,0.026441091955119,0.0358828406943757,0.044308137791939,0.0114166780453311,0.0137669125729538,0.0184294315575243,0.0261359657587382,0.0380377944563147,0.00948351288738631,0.0137119898576052,0.0147534237066273,0.0239619416095254,0.0379310002875814,"Plasma membrane"
"P05023;P05023-4;P05023-3;P05023-2",0.00589882824639589,0.00799945633312697,0.0105755795637159,0.0235549860471994,0.0660849701393957,0.00719515795090931,0.00648655603358743,0.00953220004679205,0.0219035019038476,0.0587333052609478,0.00489790936829985,0.00512408161532219,0.00708452558290829,0.0194764176492446,0.0674334688197553,"Plasma membrane"
"P05026;P05026-2",0.00736580923035018,0.00795036686471119,0.0103926558962224,0.0247963517815495,0.065331284792564,0.00727739143017654,0.00642300522633254,0.00879219795372908,0.0224034320151172,0.0557298139289423,0.00493075534975571,0.00501651316797467,0.00689275803952946,0.0206180521271344,0.0579163190956912,"Plasma membrane"
"P54709",0.00687787813926138,0.00780756201597312,0.0105376197822129,0.0249196022922299,0.0637483873507394,0.00701729888954662,0.00642279777550691,0.00954872983346223,0.0234574881834548,0.0515156489181788,0.00496821705582634,0.00526403520787751,0.00716075159455852,0.0199592369377134,0.0583986200528844,"Plasma membrane"
"P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2",0.00517027129834141,0.00774349566506791,0.0106601135890883,0.0245779145068187,0.0651295366491761,0.00635365236718823,0.00613818404655123,0.010272754810415,0.0218867393919862,0.0647944713056238,0.00426084972571125,0.00463329519140559,0.00696345192451462,0.018607747330517,0.0646056339010205,"Plasma membrane"
"P80723;P80723-2",0.0159349725700635,0.0146984945841243,0.016390010609044,0.0257881074227565,0.0386458287917905,0.015796713278116,0.0123655654235507,0.0149402519539927,0.0239773820367401,0.0379309654072895,0.0125511549560654,0.0120328790023021,0.015171600598757,0.0277264869845766,0.0435123987555093,"Plasma membrane"
"P35613;P35613-2;P35613-4;P35613-3",0.0075052807280963,0.00849199629235532,0.010953089546317,0.024010610324927,0.0645340685135099,0.00724521704381976,0.00748124505688195,0.0107258328445511,0.0224294960289312,0.059740603846687,0.00561227227198264,0.00568506276442798,0.00840428317939302,0.0208312947628779,0.058177715652086,"Plasma membrane"
"Q6YHK3;Q6YHK3-4;Q6YHK3-2",0.00936320640151546,0.00988073000211377,0.0114964360360022,0.0219054107158622,0.0577416037751957,0.00946260799334393,0.00815238647868339,0.0103879296024955,0.0202853368357283,0.0560262314315245,0.00704440948108531,0.00699781912113374,0.00834788068791196,0.0187843860350161,0.0614066238520671,"Plasma membrane"
"P16070;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8",0.0073769771202903,0.009200889502249,0.0106656224398926,0.0225856550461942,0.0655554752965347,0.00644850452878657,0.00700441730086683,0.0104291661235245,0.0221016617903214,0.0652178298934096,0.00448660702852288,0.00547131900915395,0.00765556071141364,0.0186583058835286,0.0603904414363456,"Plasma membrane"
"P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7",0.0104178606503343,0.0107645531474082,0.0116518007291709,0.0213464099769948,0.0574551667541134,0.0107688582152803,0.00842084729117057,0.0114193270640782,0.0208351831671846,0.055677980923168,0.00735830272699143,0.00711116492445951,0.00843389702815783,0.0184808491746378,0.0569990986264143,"Plasma membrane"
"P13987",0.0130303878055083,0.0150647106691978,0.0144927836007584,0.0247904011401309,0.0504150780521867,0.0125741216963584,0.011533690175834,0.0131457040227433,0.0224478788797055,0.0479605146240441,0.00957779612954648,0.00971276264388887,0.0102238427397065,0.0220479780964688,0.0522284212589325,"Plasma membrane"
"P21926",0.0118569149829931,0.0128820776103055,0.0134705519227264,0.0246545995786724,0.0575739467228113,0.0107660290187506,0.0100518759003756,0.0117471737067795,0.0222776308573647,0.0492272347186791,0.00796830951229186,0.0082733993673256,0.0105134571188619,0.0218951301435911,0.0552865317400458,"Plasma membrane"
"P48960;P48960-3;P48960-2",0.0178109831067685,0.018923125262091,0.0158279549910487,0.0244068133683644,0.0470958989299554,0.0173649444153062,0.0144806695511453,0.0130363926004443,0.0231760807523607,0.0470877483828296,0.0150463175216794,0.0126496491393226,0.0106507274567073,0.0197989015507638,0.0383829640524194,"Plasma membrane"
"P98082;P98082-3;P98082-2",0.00630051514811878,0.0129923282565724,0.0167123274588077,0.0285608184616232,0.0544656985061856,0.00729097933199567,0.00933342546953648,0.01570107644861,0.0280060349213064,0.0558912815275059,0.00559586982615191,0.00808607543876355,0.0120597301027234,0.0270032110028604,0.0455442173717755,"Plasma membrane"
"Q14118",0.00831935862498171,0.00949357994167171,0.011989053638673,0.0247162437605705,0.0766314455920075,0.00745780190587078,0.00750454657492151,0.00875627818468032,0.0207727585424392,0.0678215064352026,0.00554651732539882,0.00611687383578049,0.00759791666641824,0.0184820312657443,0.0681017359562976,"Plasma membrane"
"Q16832",0.0158167539788016,0.0140310597314091,0.0136406376076016,0.0220491106145909,0.0418369911411865,0.0208774207918413,0.0134303940235773,0.0123306909264755,0.0224238650392868,0.0438843783088751,0.0178958999960407,0.0134092214572103,0.0106025860596012,0.0223666991100959,0.0402384623804782,"Plasma membrane"
"Q14126",0.0077762586882935,0.0105973267153603,0.0145822941765688,0.031852635542773,0.0632487109412468,0.00902660193073627,0.00866188010941128,0.0123676485428955,0.0244437301463769,0.0557832289275455,0.00486558908823887,0.00576094695047428,0.00699931700181295,0.0161795968139733,0.0505294979298879,"Plasma membrane"
"P00533;P00533-4;P00533-3",0.00922243585256313,0.0107019414629474,0.0119389418403239,0.0219359996715719,0.0571867603458811,0.0103483812019101,0.00849873602535633,0.0105810178009104,0.020291227337011,0.0585670532890447,0.0076118747825611,0.00721647151333266,0.00898387807315842,0.019676740392819,0.0588039005052214,"Plasma membrane"
"Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4",0.00646913504768648,0.0126061453271684,0.01936568300178,0.0344586331854056,0.0919291615873746,0.00772382861645937,0.0100602685281076,0.0133963874684313,0.0249093576153442,0.0449373623978307,0.00630679047815364,0.00902795534932241,0.0112406058054914,0.0226070665190006,0.0401799367172882,"Plasma membrane"
"Q9Y4F1;Q9Y4F1-2",0.00600634683259228,0.00941110327501579,0.0118583320284414,0.0244753221666952,0.0111816089944887,0.00696407683041948,0.0066843848739353,0.011063258329358,0.0227354662348587,0.0777169367691846,0.00456530104160724,0.00485935692497053,0.00757231832565976,0.0183271568447753,0.0575447234013455,"Plasma membrane"
"O95466-2;O95466;O95466-3",0.0117661489647494,0.0172997307704846,0.0208429282742814,0.0258258893308715,0.0248040542404276,0.0132765424276796,0.014736993439359,0.0221920013507448,0.0260494810582283,0.0278423941617066,0.0132629597526532,0.0127668786678447,0.0175952061933655,0.0322201948048149,0.057826671692953,"Plasma membrane"
"P06241;P06241-3",0.00888310766831224,0.0115488422857806,0.0130466951396805,0.0263583007568329,0.0575655135572605,0.0104258902727965,0.00981102371853203,0.011813606887439,0.0223642209808515,0.0560688277098693,0.00734295082847251,0.00745542108074722,0.00963407635665236,0.0222285564742166,0.0507954170487397,"Plasma membrane"
"P63092;Q5JWF2;P63092-4",0.00735659646016519,0.00979876833345475,0.0110948601914475,0.021341702259058,0.0614041500835136,0.00892642396485616,0.00832088357106134,0.0113501549751813,0.0224703877014877,0.057266072748812,0.00670632716471209,0.00650387003089041,0.0088594613986309,0.0221172647936592,0.074161042094474,"Plasma membrane"
"Q8IZP9;Q8IZP9-8;Q8IZP9-7;Q8IZP9-5;Q8IZP9-6;Q8IZP9-3;Q8IZP9-4;Q8IZP9-2;Q8IZP9-10;Q8IZP9-9",0.0210303292505612,0.0167212839764217,0.0167735782151856,0.025624176994276,0.0463266615941255,0.0178590859329101,0.0138770807827321,0.0107319845844629,0.0188184840825388,0.0342165226865481,0.0161410190578308,0.0137393055767582,0.0120055504300497,0.0233574228755516,0.0429396039757298,"Plasma membrane"
"P05362",0.00780122941865378,0.00982123500720894,0.010932703617505,0.0227234758146864,0.0627437520492868,0.00791824838895244,0.00760856075236638,0.0099895688062552,0.0215204869428096,0.0685428567166191,0.00494717270635147,0.005628866400415,0.00711583259261877,0.0158885522330468,0.0643498532872015,"Plasma membrane"
"P46940",0.0120931451647448,0.0181194579259083,0.0173787588625141,0.0264859536923003,0.0492672543635603,0.0125548375474919,0.0132466814991712,0.014223320651843,0.0227141538352536,0.0405636351722536,0.0105466840692742,0.0136345123623114,0.0182023495372541,0.0315451204741585,0.0568015924451011,"Plasma membrane"
"P26006;P26006-1",0.0149044508194978,0.0106480163192827,0.0134366485364175,0.0311180671009052,0.0513758244894906,0.0117861943424566,0.00734518672418395,0.00843190384083622,0.0203318610939765,0.0422706747622678,0.00837865895622186,0.00642890812993124,0.00718778496476986,0.0207792279080044,0.0543138991791642,"Plasma membrane"
"P06756;P06756-3;P06756-2",0.00929160933718282,0.0142040505011105,0.0181692595813095,0.0327891680703984,0.0701483432537406,0.0114985999605979,0.010648686241636,0.0122198635485757,0.0208387893595423,0.0490864337408309,0.0120413674258818,0.0115251844895098,0.0107776528551072,0.0188512793408936,0.040702812658983,"Plasma membrane"
"P18084",0.00971562853489128,0.0123215628016076,0.0173980947033274,0.03459014568477,0.078363319118293,0.0118402505966003,0.00953004095230147,0.0116054496933877,0.0242434897224947,0.022728549551514,0.011910512988092,0.00937780577073619,0.0100117978559891,0.0195548833029135,0.0393172926566462,"Plasma membrane"
"P32004;P32004-2;P32004-3",0.00870321937532997,0.00966382279603934,0.0114495253599303,0.0223851659857069,0.0600755166745281,0.00816296053871624,0.00771061537696915,0.0100920210017564,0.0212118114718203,0.0571087231933623,0.00621772395950063,0.00646493721322559,0.00798068618615943,0.0200337682286074,0.0682327335198197,"Plasma membrane"
"Q9NUP9",0.00769983175451859,0.0116650289141155,0.0157123132649442,0.0231799859453957,0.0551234780276404,0.00818530365209506,0.0092920837880059,0.0138550406724072,0.0264993950559829,0.0279947921863637,0.00538223228732699,0.00686059998419456,0.0095745329079168,0.0240341184700438,0.0482079315118758,"Plasma membrane"
"P43121;P43121-2",0.00743500211977413,0.00882241987009099,0.0100873889676544,0.0213823596533802,0.0617481530383503,0.00759537537796707,0.00738906997301014,0.00963006938534558,0.0217115585744975,0.0623920928198601,0.00556657581073019,0.00596862111472983,0.0079279107746362,0.0186775901393357,0.0615713198341015,"Plasma membrane"
"P08581;P08581-2",0.00926239009451544,0.0121883374723059,0.0139588937800143,0.0270067772007845,0.0578478034854047,0.0107547075263992,0.00897060795269608,0.0114559477434586,0.0214013698863073,0.056461875931946,0.00802227837159983,0.00757956405430609,0.00936802756927418,0.0214886487116065,0.0515486799905318,"Plasma membrane"
"P17342;P17342-2",0.017028335251091,0.0193684795694449,0.0169849184396652,0.0273874991872984,0.0398998315253177,0.0185254516330175,0.013799782610498,0.0130520971192618,0.0202396520720728,0.040510721334323,0.0159930951997588,0.013847999270423,0.0115469082648591,0.0201896900126934,0.0351087100232618,"Plasma membrane"
"Q9Y639;Q9Y639-4;Q9Y639-5;Q9Y639-3;Q9Y639-1",0.00733261864939309,0.0075755497508322,0.0121808461846422,0.0269356690153221,0.0714905403679265,0.00777583128086736,0.00700363828705605,0.00994249380402458,0.0235483500402492,0.0713115836235933,0.00528050987455454,0.00523957485878491,0.00757737146619368,0.0239887765188177,0.0676113582452552,"Plasma membrane"
"O15031",0.00766929381130692,0.0084996708111563,0.0103476341688985,0.020947549244238,0.0600671003168836,0.00897072477925707,0.00684383434499197,0.00857446306537769,0.0191223437742482,0.0563332056680635,0.00664953458975934,0.00591064658589942,0.00693783928837114,0.0180347683344234,0.0671334816446199,"Plasma membrane"
"Q12913",0.0154355373128574,0.0119509245187552,0.0160131388357812,0.0222763054918192,0.049833434777532,0.0186802289428979,0.0113482893328638,0.012785440860164,0.0226618604470135,0.0454242210008312,0.0136203226565065,0.0099359887410644,0.00936405176961502,0.015800626791757,0.0246133897936842,"Plasma membrane"
"P15151;P15151-3;P15151-2;P15151-4",0.0118619679714106,0.0130698547954023,0.013019870166051,0.022685216317865,0.0697908511016432,0.0099430385370985,0.00917765828165753,0.0123841797597375,0.0149967397412928,0.060029588498912,0.00768187200092224,0.00785854439956002,0.010414515176114,0.021154155598999,0.0495478267343616,"Plasma membrane"
"Q01974",0.00878744236682034,0.0108129937719905,0.0115037011902078,0.023536514561877,0.0578292120703225,0.0113544500340374,0.00917389625333308,0.0113329881666557,0.0213496484672369,0.0635776259611725,0.00696065871380572,0.00767942086062649,0.00896418715702217,0.0178666539111167,0.0412993659771609,"Plasma membrane"
