"Data","Method","DataSplit","F1-score","Precision","Recall","Accuracy","Quadloss"
"nikolovski2014","WithoutCNN","Cross_validation",0.739811053658936,0.736586295146078,0.749861111111111,0.730964467005076,0.701249037391337
"nikolovski2014","WithoutCNN","Cross_validation",0.733104270043467,0.734234515484516,0.746230158730159,0.710659898477157,2.39133459154744
"nikolovski2014","WithoutCNN","Cross_validation",0.742692696275816,0.734033400809716,0.755456349206349,0.741116751269036,1.02701037665514
"nikolovski2014","WithoutCNN","Cross_validation",0.758723582246812,0.769229273231032,0.770436507936508,0.776649746192893,0.669404405137294
"nikolovski2014","WithoutCNN","Cross_validation",0.753540581740883,0.750277061256216,0.761736111111111,0.751269035532995,0.937611952321668
"nikolovski2014","WithoutCNN","Cross_validation",0.764735602809157,0.768225071076902,0.765456349206349,0.771573604060914,0.705458083495404
"nikolovski2014","WithoutCNN","Cross_validation",0.724663561076605,0.720824362041467,0.738164682539683,0.730964467005076,1.32890883571761
"nikolovski2014","WithoutCNN","Cross_validation",0.745439144102183,0.740749168089594,0.75218253968254,0.746192893401015,0.779681351703049
"nikolovski2014","WithoutCNN","Cross_validation",0.767437951878986,0.773523859187525,0.76828373015873,0.761421319796954,0.5173539376587
"nikolovski2014","WithoutCNN","Cross_validation",0.736456763317751,0.727362914862915,0.749494047619048,0.730964467005076,1.14829843874657
"nikolovski2014","WithoutCNN","Cross_validation",0.768586564420047,0.772279229168764,0.768105158730159,0.761421319796954,0.491962165524864
"nikolovski2014","WithoutCNN","Cross_validation",0.731283477966085,0.734112679237304,0.735496031746032,0.730964467005076,0.578315925829305
"nikolovski2014","WithoutCNN","Cross_validation",0.740520377467889,0.742255705088664,0.741081349206349,0.741116751269036,1.78326503472408
"nikolovski2014","WithoutCNN","Cross_validation",0.757204051096063,0.753962459715376,0.764771825396825,0.756345177664975,1.09750471032499
"nikolovski2014","WithoutCNN","Cross_validation",0.730187666024209,0.726419792706699,0.7375,0.736040609137056,0.705455317313034
"nikolovski2014","WithoutCNN","Cross_validation",0.740971487410238,0.746693003478418,0.739513888888889,0.741116751269036,0.480911634363234
"nikolovski2014","WithoutCNN","Cross_validation",0.765583539931657,0.763108000165264,0.770863095238095,0.766497461928934,0.647928033380915
"nikolovski2014","WithoutCNN","Cross_validation",0.72899845392339,0.730395227672663,0.731865079365079,0.736040609137056,0.735823059698695
"nikolovski2014","WithoutCNN","Cross_validation",0.736889825974603,0.726354060474904,0.751607142857143,0.730964467005076,1.65357105960562
"nikolovski2014","WithoutCNN","Cross_validation",0.69103396094869,0.683893174438099,0.705843253968254,0.695431472081218,0.757550676304155
"nikolovski2014","WithoutCNN","Cross_validation",0.715692318594104,0.712795462387854,0.719781746031746,0.725888324873096,0.58094600282136
"nikolovski2014","WithoutCNN","Cross_validation",0.749299804462848,0.745560064935065,0.762688492063492,0.746192893401015,0.946044633435287
"nikolovski2014","WithoutCNN","Cross_validation",0.741204068318599,0.740295651705498,0.747738095238095,0.730964467005076,0.923505076362045
"nikolovski2014","WithoutCNN","Cross_validation",0.73105614530304,0.733086219336219,0.743343253968254,0.741116751269036,1.35405896439062
"nikolovski2014","WithoutCNN","Cross_validation",0.726465795872676,0.723787258698586,0.738402777777778,0.710659898477157,1.15782058983229
"nikolovski2014","WithoutCNN","Cross_validation",0.782539139309068,0.775408786015426,0.798402777777778,0.781725888324873,1.03445358446782
"nikolovski2014","WithoutCNN","Cross_validation",0.752805425484565,0.741205307373786,0.767956349206349,0.746192893401015,0.932744454458517
"nikolovski2014","WithoutCNN","Cross_validation",0.737077441292558,0.738288670393934,0.737777777777778,0.736040609137056,0.587422271474731
"nikolovski2014","WithoutCNN","Cross_validation",0.761964920695636,0.759786673415339,0.769117063492064,0.761421319796954,0.98929807128051
"nikolovski2014","WithoutCNN","Cross_validation",0.760474362568848,0.758878183220288,0.773005952380952,0.746192893401015,1.41164774251312
