"Data","Method","DataSplit","F1-score","Precision","Recall","Accuracy","Quadloss"
"nikolovski2014","ColumnMaxMin","Cross_validation",0.758765148720073,0.759505957138669,0.759355158730159,0.756345177664975,0.278920303706352
"nikolovski2014","ColumnMaxMin","Cross_validation",0.784822601489268,0.79386661036025,0.782718253968254,0.791878172588833,0.0996345405184888
"nikolovski2014","ColumnMaxMin","Cross_validation",0.785398594192199,0.777836007591442,0.795902777777778,0.776649746192893,0.56163953555553
"nikolovski2014","ColumnMaxMin","Cross_validation",0.773388546316787,0.771969696969697,0.777767857142857,0.771573604060914,0.288997832272388
"nikolovski2014","ColumnMaxMin","Cross_validation",0.790957595919913,0.809926634689487,0.778492063492063,0.786802030456853,0.339360293905476
"nikolovski2014","ColumnMaxMin","Cross_validation",0.800766826203167,0.798080491471692,0.808452380952381,0.796954314720812,0.123552707467744
"nikolovski2014","ColumnMaxMin","Cross_validation",0.788402648132982,0.784780844155844,0.798869047619048,0.776649746192893,0.419090436911903
"nikolovski2014","ColumnMaxMin","Cross_validation",0.763014403626345,0.766623055632156,0.761944444444445,0.766497461928934,0.294779293864262
"nikolovski2014","ColumnMaxMin","Cross_validation",0.797487339779253,0.789227766243171,0.810238095238095,0.781725888324873,0.860741463283109
"nikolovski2014","ColumnMaxMin","Cross_validation",0.761641738272173,0.770097253414923,0.759295634920635,0.756345177664975,0.35324467645382
"nikolovski2014","ColumnMaxMin","Cross_validation",0.735704341808362,0.74195973030818,0.733650793650794,0.746192893401015,0.173838008517186
"nikolovski2014","ColumnMaxMin","Cross_validation",0.764548743468068,0.784602027136352,0.760218253968254,0.766497461928934,0.125525379162439
"nikolovski2014","ColumnMaxMin","Cross_validation",0.741824551265426,0.753798864220797,0.74390873015873,0.741116751269036,0.43239406317849
"nikolovski2014","ColumnMaxMin","Cross_validation",0.753360722602933,0.768523143523144,0.742460317460317,0.741116751269036,0.227358409882842
"nikolovski2014","ColumnMaxMin","Cross_validation",0.751748165371662,0.751670159550594,0.755128968253968,0.751269035532995,1.42940242434212
"nikolovski2014","ColumnMaxMin","Cross_validation",0.76153813907888,0.769923646013762,0.760724206349206,0.756345177664975,0.0489929145373062
"nikolovski2014","ColumnMaxMin","Cross_validation",0.760363062713508,0.766867106205341,0.75780753968254,0.771573604060914,0.0914332799812794
"nikolovski2014","ColumnMaxMin","Cross_validation",0.795595901033658,0.803146253060441,0.798214285714286,0.791878172588833,0.146666175662905
"nikolovski2014","ColumnMaxMin","Cross_validation",0.758553839405627,0.771356583231583,0.755228174603175,0.771573604060914,0.157995258968133
"nikolovski2014","ColumnMaxMin","Cross_validation",0.785470511565641,0.793768821062704,0.785039682539683,0.781725888324873,0.254929135927111
"nikolovski2014","ColumnMaxMin","Cross_validation",0.764768214484191,0.771058848558849,0.765575396825397,0.761421319796954,0.153417962903556
"nikolovski2014","ColumnMaxMin","Cross_validation",0.751454988886428,0.759026140203466,0.747609126984127,0.751269035532995,0.439195929941123
"nikolovski2014","ColumnMaxMin","Cross_validation",0.779989096430122,0.779428301518165,0.783938492063492,0.771573604060914,1.08485812741572
"nikolovski2014","ColumnMaxMin","Cross_validation",0.794104308390023,0.790494123931624,0.798194444444444,0.791878172588833,0.168386371190634
