"data","method","result","Precision","Recall","F1-score","Accuracy"
"nikolovski2014","WithoutAttention","Cross_validation_1",0.795833333333333,0.8,0.795168988648091,0.775
"nikolovski2014","WithoutAttention","Cross_validation_2",0.763825757575758,0.727083333333333,0.731376262626263,0.725
"nikolovski2014","WithoutAttention","Cross_validation_3",0.844097222222222,0.853125,0.845996732026144,0.82051282051282
"nikolovski2014","WithoutAttention","Cross_validation_4",0.86875,0.88125,0.866830065359477,0.846153846153846
"nikolovski2014","WithoutAttention","Cross_validation_5",0.708680555555556,0.721875,0.685999784529196,0.717948717948718
"nikolovski2014","WithoutAttention","Cross_validation",0.796237373737374,0.796666666666667,0.785074366637834,0.776923076923077
"nikolovski2014","WithoutAttention","Test",0.697641941391941,0.666770729270729,0.670193841246473,0.672727272727273
"nikolovski2014","WithAttention","Cross_validation_1",0.886458333333333,0.8625,0.85855463980464,0.85
"nikolovski2014","WithAttention","Cross_validation_2",0.783333333333333,0.758333333333333,0.758459595959596,0.75
"nikolovski2014","WithAttention","Cross_validation_3",0.845075757575757,0.803125,0.817460317460317,0.794871794871795
"nikolovski2014","WithAttention","Cross_validation_4",0.840972222222222,0.81875,0.824248120300752,0.794871794871795
"nikolovski2014","WithAttention","Cross_validation_5",0.725320512820513,0.734375,0.694310731538992,0.743589743589744
"nikolovski2014","WithAttention","Cross_validation",0.816232031857032,0.795416666666667,0.790606681012859,0.786666666666667
"nikolovski2014","WithAttention","Test",0.758680555555556,0.705461205461205,0.716510025062657,0.709090909090909
"E14TG2aR","WithoutAttention","Cross_validation_1",0.925,0.925,0.925,0.966101694915254
"E14TG2aR","WithoutAttention","Cross_validation_2",0.865,0.866666666666667,0.846103896103896,0.915254237288136
"E14TG2aR","WithoutAttention","Cross_validation_3",0.91,0.941666666666667,0.907380952380952,0.948275862068966
"E14TG2aR","WithoutAttention","Cross_validation_4",0.888095238095238,0.870833333333333,0.864260232521102,0.879310344827586
"E14TG2aR","WithoutAttention","Cross_validation_5",0.810555555555555,0.838549783549784,0.816792065663475,0.879310344827586
"E14TG2aR","WithoutAttention","Cross_validation",0.879730158730159,0.88854329004329,0.871907429333885,0.917650496785506
"E14TG2aR","WithoutAttention","Test",0.848928571428571,0.859761904761905,0.84828320802005,0.907894736842105
"E14TG2aR","WithAttention","Cross_validation_1",0.98,0.95,0.955555555555555,0.983050847457627
"E14TG2aR","WithAttention","Cross_validation_2",0.908333333333333,0.933333333333333,0.908051948051948,0.949152542372881
"E14TG2aR","WithAttention","Cross_validation_3",0.908333333333333,0.933333333333333,0.893290043290043,0.948275862068966
