Protein_ID,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
Q9JJ28,0.006986191,0.046803828,0.072462518,0.052573487,0.01900914,0.006791916,0.00395437,0.068159687,0.049301649,0.043027286,0.027374272,0.009992211,0.000333845,0.059103799,0.063211328,0.046355659,0.023305804,0.01615155,0.001837903,0.049508259,0.051658647,0.048014706,0.030544347,0.012352395,0.003080749,0.040987913,0.053834733,0.043493958,0.032899289,0.016888562,unknown
Q9CQI7;A2CES4,0.094969001,0.018265886,0.005873202,0.012857362,0.019600018,0.029381129,0.094558935,0.015391645,0.006066897,0.018150425,0.026450197,0.049105867,0.091917128,0.017908732,0.005489781,0.017202927,0.050986124,0.036836014,0.094770582,0.015910369,0.007000411,0.012462036,0.028213292,0.028120696,0.101804063,0.017869804,0.004696294,0.020461723,0.034617501,0.023061957,unknown
O55222,0.03567318,0.014108555,0.020089575,0.015715721,0.016530184,0.022570269,0.028484453,0.025208726,0.022078327,0.0301297,0.030707907,0.034345791,0.022522085,0.022258628,0.016604792,0.032279324,0.054966166,0.035561269,0.037411686,0.044287216,0.024570678,0.0428417,0.048532062,0.047220994,0.028676412,0.03399296,0.04470766,0.069995656,0.048213427,0.049714899,unknown
Q3U2A8;F6YJY2,0.000677274,0.04900649,0.09404476,0.01256358,0.001266408,0,0.000763831,0.061352688,0.094807011,0.004879193,0,0,0.000350325,0.049361077,0.097026006,0.009781084,0,0,0,0.131423261,0.141908439,0.014657793,0,0,0.000304623,0.100792088,0.13128775,0.00374632,0,0,unknown
O35593,0.014505341,0.031291289,0.023992687,0.02129326,0.013241542,0.079297415,0.01064005,0.027047416,0.020408298,0.024556513,0.023826425,0.068585241,0.00413784,0.024133391,0.019833338,0.022895658,0.040062466,0.052247469,0.01280931,0.026412227,0.020645418,0.027285295,0.033199387,0.120989609,0.004790237,0.028548082,0.021998295,0.025982019,0.021866196,0.133478288,Large Protein Complex
Q99LG4,0.015810869,0.037006336,0.024683963,0.036056005,0.039964945,0.02829011,0.010870429,0.02624079,0.029325259,0.032686072,0.03826493,0.031872546,0.003842818,0.027093533,0.030490827,0.031273345,0.040625252,0.030272853,0,0.04331755,0.042222208,0.050383922,0.057819663,0.047635078,0.003151412,0.034803795,0.037435899,0.051880555,0.068359939,0.048319096,unknown
Q7TPD0;A0A0G2JFJ6,0.113091043,0.012966617,0.001596698,0.001137854,0.004003194,0.022894953,0.115011513,0.007222443,0.000854707,0.002296882,0.00489705,0.030676302,0.14836367,0.014227233,0.000141179,9.07E-05,0.002126255,0.002567126,0.243338282,0.002730859,0.000823931,0.00100219,0.00401649,0.019021514,0.207253149,0.0165121,0.000429737,0.002333814,0.001211915,0.017160628,unknown
P62307;Q497K3,0.070534362,0.022436539,0.006751844,0.011779056,0.019995198,0.0264738,0.091511666,0.017744963,0.007663961,0.01484421,0.023597093,0.040772537,0.07821022,0.019910403,0.006206751,0.014920146,0.022330228,0.035288696,0.088565351,0.016698313,0.011659204,0.015414996,0.0282912,0.035219088,0.154314484,0.021021599,0.006596935,0.0138292,0.029745373,0.047672582,unknown
Q3UFY8,0.00170034,0.059654974,0.128471482,0.012423041,0,0,0.003404344,0.079954464,0.119165833,0.009043361,0,0,0.000376932,0.054433928,0.088432487,0.015108091,0.000212482,0,0.000584197,0.080086226,0.129941445,0.011748176,0,0,0.00229376,0.10639733,0.090363615,0.006203491,0,0,Mitochondrion
Q9CQE7;Q9CQE7-2;F6UIS1;F6RK81,0.01131494,0.037698418,0.071159194,0.049595583,0.041380187,0.03214328,0.016768288,0.021251743,0.036003722,0.045415693,0.031043442,0.031502941,0.014841135,0.022474668,0.033329026,0.038683833,0.053425344,0.0308543,0.012367492,0.02339114,0.024466071,0.032997667,0.040441697,0.021924569,0.014483787,0.025401674,0.028302329,0.063398604,0.049256283,0.044682949,Ergic/cisGolgi
