data,method,result,Precision,Recall,F1-score,Accuracy
hirst2018,WithoutAttention,Cross_validation_1,0.930925925925926,0.8804629629629629,0.8934482075658546,0.9411764705882353
hirst2018,WithoutAttention,Cross_validation_2,0.9625771604938271,0.9275462962962964,0.9409791683204997,0.957983193277311
hirst2018,WithoutAttention,Cross_validation_3,0.9791666666666666,0.9907407407407408,0.9831932773109244,0.9915254237288136
hirst2018,WithoutAttention,Cross_validation_4,0.9791666666666666,0.9907407407407408,0.9831932773109244,0.9915254237288136
hirst2018,WithoutAttention,Cross_validation_5,0.8493087257075779,0.8333333333333333,0.8368074686256505,0.9491525423728814
hirst2018,WithoutAttention,Cross_validation,0.9402290290921329,0.9245648148148149,0.9275242798267707,0.9662726107392109
hirst2018,WithoutAttention,Test,0.8675556525497563,0.8677241161616162,0.8623033174481346,0.9230769230769231
hirst2018,WithAttention,Cross_validation_1,0.9360185185185186,0.8999074074074075,0.9077140601057009,0.9411764705882353
hirst2018,WithAttention,Cross_validation_2,0.9626372385518728,0.9349537037037038,0.9432876854445481,0.957983193277311
hirst2018,WithAttention,Cross_validation_3,0.9791666666666666,0.9907407407407408,0.9831932773109244,0.9915254237288136
hirst2018,WithAttention,Cross_validation_4,0.985324074074074,0.9678240740740741,0.9750519652305366,0.9745762711864406
hirst2018,WithAttention,Cross_validation_5,0.8521425451857824,0.8240151515151516,0.8297885315742458,0.9322033898305084
hirst2018,WithAttention,Cross_validation,0.9430578085993828,0.9234882154882156,0.9278071039331912,0.9594929497222617
hirst2018,WithAttention,Test,0.934190233246837,0.8577020202020201,0.8835150960150963,0.9358974358974359
