cv_index,true_label,pred_label,pred_prob
1.0,Plasma Membrane,Nucleus (Nucleolus),0.3188477158546448
2.0,Cytosol_4,Cytosol_4,0.8007038831710815
5.0,Cytosol_4,Cytosol_4,0.7447212934494019
5.0,Cytosol_5,Cytosol_5,0.7470797300338745
5.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5443578958511353
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8019908666610718
2.0,Mitochondria membrane,Mitochondria membrane,0.8675031661987305
1.0,Mitochondria membrane,Mitochondria membrane,0.5384034514427185
4.0,Plasma Membrane,Mitochondria membrane,0.6066821217536926
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9060983657836914
5.0,Plasma Membrane,Plasma Membrane,0.5802523493766785
4.0,Plasma Membrane,Plasma Membrane,0.5120317935943604
1.0,Plasma Membrane,Plasma Membrane,0.4883400797843933
5.0,"ER, Mitochondrion","ER, Mitochondrion",0.49472731351852417
1.0,"ER, peroxisome","ER, peroxisome",0.6223459839820862
1.0,"ER, peroxisome","ER, peroxisome",0.5142955183982849
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9242054224014282
4.0,Cytosol_3,Cytosol_5,0.6412702798843384
1.0,"ER, Mitochondrion","ER, Mitochondrion",0.48035332560539246
2.0,"Golgi, Endo/Lyosome","ER, peroxisome",0.6186492443084717
2.0,"ER, peroxisome","ER, peroxisome",0.43337881565093994
5.0,"ER, peroxisome","ER, peroxisome",0.5450618863105774
1.0,Cytosol_3,Cytosol_3,0.5714291930198669
1.0,Cytosol_1,Cytosol_3,0.5023937821388245
2.0,Cytosol_4,Cytosol_4,0.9400393962860107
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5249346494674683
4.0,Mitochondria matrix,Mitochondria matrix,0.9123673439025879
5.0,Cytosol_3,Cytosol_3,0.5437654256820679
5.0,"ER, peroxisome","ER, peroxisome",0.6620774865150452
4.0,Cytosol_5,Cytosol_5,0.4096771776676178
2.0,Nucleus (speckles),Nucleus (speckles),0.9929106831550598
4.0,Cytosol_5,Cytosol_2,0.5655179023742676
5.0,Cytosol_4,Cytosol_5,0.3790074586868286
2.0,Cytosol_4,Cytosol_4,0.5234559178352356
4.0,"ER, Mitochondrion","ER, Mitochondrion",0.4717984199523926
3.0,"ER, peroxisome","ER, peroxisome",0.4870445430278778
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.8744310140609741
4.0,Cytosol_2,Cytosol_1,0.38229724764823914
4.0,Plasma Membrane,Plasma Membrane,0.27514731884002686
5.0,Cytosol_4,Cytosol_4,0.8035212159156799
2.0,Cytosol_1,Cytosol_5,0.6667008996009827
3.0,Plasma Membrane,Plasma Membrane,0.7201840281486511
1.0,"ER, peroxisome","ER, peroxisome",0.38245224952697754
2.0,"ER, peroxisome","ER, peroxisome",0.682964026927948
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6214618682861328
2.0,"Nucleosol, Ribosome",Nucleus (Nucleolus),0.656284511089325
5.0,Cytosol_5,Cytosol_5,0.7106500864028931
2.0,Mitochondria membrane,Mitochondria membrane,0.4957215487957001
4.0,Plasma Membrane,Plasma Membrane,0.4870906472206116
5.0,Plasma Membrane,Plasma Membrane,0.7501980662345886
1.0,Cytosol_4,Cytosol_4,0.6055836081504822
5.0,Cytosol_4,Cytosol_4,0.6060056686401367
1.0,"ER, peroxisome",Plasma Membrane,0.6467487215995789
